CHG DESCRIPTION,CHG AMT
SPYSCOPE DIGITAL ACCESS &,"11,688.00 "
SPYBITE BIOPSY FORCEPS,"2,370.00 "
BIOVAC DIRECT SUC DEV W/Y,425.00 
RESOLUTION CLIP 360,931.00 
FEEDING TUBE MICKEY G20FR,443.00 
TUBE FEED MIC KEY LOWPROF,392.00 
TUBE FEED MIC KEY LOWPROF,392.00 
CATHETER VERSAFLEX-Z,"3,675.00 "
GI KITS W/BUTTONS,55.00 
BASKET SPY GLASS RETRIEVA,"2,284.00 "
SAFETY PEG KIT PUSH 20F 2,527.00 
RADIAL JAW 4 LC W/NEEDLE,28.00 
STENT SET PANCREAT 5FR 5C,719.00 
STENT SET PANCREAT 5FR 3C,719.00 
CATH PUSHING 5F,170.00 
WALLFLEX ESOPHAGEAL STENT,"10,604.00 "
SAVARY CLEANING BRUSH,90.00 
MICKEY LOWPROFILE24FRX3.0,430.00 
MICKEY LOWPROFILE24FRX4.0,430.00 
MICKEY LOWPROFILE24FRX3.5,430.00 
HALO TTS CATHETER,"6,758.00 "
LOW PROFILE FEEDING TUBE,443.00 
LOW PROFILE FEEDING TUBE,392.00 
LOW PROFILE G-TUBE 24FR,443.00 
G TUBE FEEDING LOW PROFIL,443.00 
HALO ABLATION CAPS--SMALL,153.00 
CAPSULES BRAVO PH,"1,161.00 "
ADAPTER A/W CHANNEL CLEAN,519.00 
MERIT ESOPHAGEAL STENT 23,"10,200.00 "
STENT ESOPHAGEAL ENDO MAX,"8,750.00 "
PROBE EHL 1.9FR 375CM,"1,931.00 "
SACROCOLPOPEXY SMALL/LARG,238.00 
GI COLONSCOPY W/VIDEO,739.00 
GI MONITORING,210.00 
GI ENDOSCOPY W/VIDEO,802.00 
GI CAUTERY,119.00 
GI FLEXIBLE SIGMOID W/VID,598.00 
GI COLONOSCOPY/EGD WW/O V,"1,307.00 "
GI RECOVERY 1ST 30 MIN,300.00 
GI RECOVERY EACH MINUTE,10.00 
GI RECOVERY EA ADDL 15MIN,150.00 
STAT CHG GI OR PROCEDU NC,0.00 
STAT SPECIALS TEE CHG NC,0.00 
STAT SPEC CARDIOVRSION NC,0.00 
STAT SPEC TEE/CARDIOV NC,0.00 
GI MAJ PROC EA ADDL 15 MI,211.00 
GI MAJOR PROC 1ST 30 MIN,"1,485.00 "
GI SIGMOID PROC 1ST 30MIN,"1,590.00 "
GI SIGMOID PROC ADDL 15MI,215.00 
GI EGD PROC 1ST 30 MIN,"1,700.00 "
GI EGD PROC EA ADDL 15MIN,215.00 
GI COLONSCPY PROC 1ST 30M,"1,910.00 "
GI COLONSCPY PROC ADD 15M,215.00 
GI ERCP PROC 1ST 30 MIN,"2,015.00 "
GI ERCP PROC ADDL 15 MIN,215.00 
GI SIGMOID/EGD PROC 1ST30,"2,335.00 "
GI SIGMOID/EGD PROC ADD15,215.00 
GI ERCP/EGD PROC 1ST 30MI,"2,760.00 "
GI ERCP/EGD PROC ADD 15MI,215.00 
GI COLNSCOPY/EGD PROC 1ST,"2,450.00 "
GI COLONSCPY/EGD PROC ADD,215.00 
STAT GI CHG BRONCH PROCED,0.00 
STAT SPEC BLOOD TRANSFUSE,0.00 
STAT GI LITHO NON MCR/MCD,0.00 
GI MINOR PROC 1ST 30 MIN,365.00 
RECOVERY EACH MINUTE,10.00 
PACU RECOVERY PHASE 2 HR,300.00 
PREOP SVC EACH MINUTE,6.00 
STAT RECOVERY PATIENT NC,0.00 
STAT RECOVERY PATIENT NC,0.00 
KIT TRANSDUCER INVASIVE B,170.00 
KIT TRANSDUCER INVASIVE B,175.00 
KIT TRANSDUCER INVASIVE B,124.00 
SENSOR FLOTRAC 84,"1,508.00 "
CUFF CLEARSIGHT LARGE,"1,328.00 "
CUFF CLEARSIGHT MEDIUM,"1,328.00 "
CUFF CLEARSIGHT SMALL,"1,328.00 "
PAD RADIOLUCENT PRO DEFIB,160.00 
SPECTRUM LOPRO SINGLE USE,170.00 
SPECTRUM LOPRO SINGLE USE,170.00 
BLADE SPECTRUM MAC SINGLE,170.00 
BLADE SPECTRUM MAC SINGLE,170.00 
ARTIC GEL PADS UNIVERSAL,"1,446.00 "
ARTIC SUN GEL PADS LARGE,"3,824.00 "
ARTIC SUN GEL PADS SMALL,"3,824.00 "
LENS MORGAN THERAPEUTIC,102.00 
FINGER SPLINT VELCRO SM,22.00 
CATH KIT INFANT 5F,5.00 
INTRAOSSEOUS NDL 15GA-JAM,27.00 
INDERMIL SKIN ADHESIVE,103.00 
FOLEY CATH 16F TENP SENSE,129.00 
SUTURE ETHILON 5-0 1615G,9.00 
SUTURE ETHICON 6-0 1856G,9.00 
SUTURE PROLENE BL 5-0,9.00 
SUTURE ETHILON 6-0 P-3,4.00 
EZ-10 45MM 156 NEEDLE SET,581.00 
NEEDLE EZ-IO 15MM 15G ADU,559.00 
NASAL PACK POST 400406,125.38 
STAT NO CHARGE ER VISIT,0.00 
STAT CHG ER SUTURE REM NC,0.00 
STAT CHG ER AMA NC,0.00 
ENT PROCEDURE,224.00 
STAT PST PHONE HISTORY NC,0.00 
STAT PST FACE TO FACE NC,0.00 
STAT PST TOTAL JOINT PT,0.00 
STAT PST OPEN HEART PT NC,0.00 
STAT PST TJ ORIENT CLASS,0.00 
PM SPINAL NEEDLE 25X3.5 P,19.00 
STEERING KIT W/STYLET CAP,744.00 
INFINION 16 50CM 16 CONTA,"16,575.00 "
PM RECOVERY EA ADDL 15 MI,150.00 
PM RECOVERY 1ST 30 MIN,300.00 
PM PROCEDURE ADDL 15 MIN,300.00 
PM PROCEDURE 1ST 30 MIN,"1,260.00 "
PM STELLATE NDL SNGL SHOT,30.00 
PM CATH EPIDURAL,36.00 
PM CATH EPIDURAL VERSA,303.00 
PM SPINAL NDL 22 X 3.5,9.00 
PM SPINAL NEEDLE 22 X 5,27.00 
PM SPINAL NEEDLE 22 X 7,19.00 
PM SPINAL NEEDLE 25 X 2,9.00 
PM EPIDURAL CATH TRAY SNG,131.00 
PM RF CANNULA 22GA 54MM,65.00 
PM RF CANNULA 20G 100MM,65.00 
PM RF CANNULA 20GA 145MM,65.00 
PM TOUHY EPIDURAL NEEDLE,8.00 
PM SPINAL NEEDLE 23X3.5,15.00 
PM SPINAL NEEDLE 25GX3.5,11.00 
PM 18G CANNULA,98.00 
PM TUOHY NEEDLE 18X6,51.00 
PM RF CANNUAL 18GA 100MM,65.00 
PM NERVE BLOCK TRAY,199.00 
PM CATH MICRON 12 W/STYL,237.00 
PM RF NDLS 20GAX10MM S&N,60.00 
PM MINOR PROC NON-FLUO,355.00 
PM TRANSFORAMINAL NERVE B,48.00 
PM NEURO STIMULATOR KIT,"1,575.00 "
PATIENT LEAD KIT,468.00 
NEEDLE SPINAL QUINKE 25GA,10.00 
STEERING KIT W/STYLET CAP,787.00 
TOUHY NEEDLE,801.00 
SIMPLICITY III PROBE,"1,346.00 "
RF DISPOSABLE ELECTRODE,340.00 
RF NEUROTHERM GROUND PAD,30.00 
RF CANNULA,46.00 
RF CANNULA,46.00 
PATIENT TRIAL KIT BOSTON,489.00 
OR CABLE 1X16 61CM & EXTE,"2,700.00 "
VERTOS MILD PROC KIT,"10,625.00 "
ST JUDE NEURO STYLET BENT,107.00 
RF-DISPOSABLE ELECTRODE15,340.00 
RF CANNULA 18G 150MM 10MM,46.00 
MULTILEAD TRIAL CABLE ST,850.00 
CATH EPIDURAL VERSA 12IN,287.00 
5  NEEDLE 2016-01 SC-4205,914.00 
NEEDLE CATH EPIDURAL 18G,56.00 
NEEDLE CATH EPIDURAL 18G,56.00 
"VENOM CANNULA 20G, 100MM,",128.00 
DISP STERILE PROBE KIT 17,"3,375.00 "
DISP STERILE PROBE KIT 17,"3,375.00 "
DISP STERILE PROBE KIT,"4,500.00 "
DISP STERILE PROBE 17-150,"3,375.00 "
DISP PROBE KIT,"2,250.00 "
RF CANN 17G 100MM 4MM TIP,"3,375.00 "
STRYKER RF MULTIGEN,"2,250.00 "
"VENOM CANNULA 18G, 100MM,",128.00 
RF CANNULA 17G 100MM 4MM,"5,653.00 "
COOLED RF MULTI-KIT DISP,"4,675.00 "
COOLED RF KIT-DISPOSABLE,"3,375.00 "
COOLED RF SINGLE PROBE,"1,710.00 "
STRYKER RF 9999RFR,"2,925.00 "
"VENOM CANNULA 18G, 150MM,",128.00 
MULTI COOLED KIT MCK2-100,"5,653.00 "
"VENOM CANNULA 20G, 150MM,",128.00 
SINGLE USE PROBE,"1,710.00 "
MULTI-COOLED KIT MCK3-100,"6,248.00 "
RF NITINOL PROBE 100MM CR,"4,845.00 "
CDS DIAPOSABLE SET,638.00 
DISCOGRAPHY NDL KIT20GX25,107.00 
MULTI-COOLED KIT MCK2-100,"4,675.00 "
RF GROUND PAD,70.00 
THORACIC KIT,"3,375.00 "
SINGLE PROBE KIT,"3,375.00 "
MULTI-COOLED KIT,"4,675.00 "
MULTI0COOLED KIT,"4,675.00 "
PMG/COOLED RADIOFREQUENCY,600.00 
MULTI COOLED KIT 100MM LE,"6,248.00 "
KIT MONTAGE PATIENT TRIAL,425.00 
MULTI COOLED KIT 75MM LEN,"6,248.00 "
NEEDLE STIMUPLEX ULTR 360,43.00 
NEEDLE STIMUPLEX ULTR 360,45.00 
PROBE SINGLE STERILE COOL,"1,710.00 "
PROBE SINGLE STERILE COOL,"1,710.00 "
MULTI COOLED KIT 17G MCK2,"4,675.00 "
MULTI COOLED KIT 17G MCK3,"6,248.00 "
MULTI COOLED KIT 17G MCK2,"4,675.00 "
MULTI COOLED KIT 17G MCK2,"4,675.00 "
MULTI COOLED KIT 50MM LEN,"6,248.00 "
KIT MONTAGE PT TRIAL,425.00 
MULTI COOLED KIT 17GA 50M,"4,816.00 "
MULTICOOLED KIT 150MM LEN,"3,966.00 "
HAND PACK,211.00 
INSTRUMENT WIPE,11.00 
TIP CLEANER,10.00 
INSTRA MAG,8.00 
ORATRACHEAL INK NEEDLE,92.00 
ADD A SLEEVE,6.00 
SKIN SCRIBE,5.00 
BLADE SHIELD,1.00 
SKIN SCRUB TRAY,31.00 
AMBER TUBING,30.00 
DRAIN PENROSE 3/8X12,4.00 
DRAIN PENROSE 5/8X12,3.00 
DRAIN PENROSE 7/8X12,5.00 
YANKAUER SUCT TIP,3.00 
VAG PACKING 2 INCH X 36 I,24.00 
UTERINE ASPIRATING TUBING,30.00 
YANKAUER SUCTION INS,17.00 
CAUTERY PENCIL BL/WH,6.00 
SUCTION CAUTERY HAND,22.00 
SUCTION CAUTERY FOOT,20.00 
OXYCEL SURGICEL 2X4,437.00 
STOCKINETTE 3X36 STERILE,9.00 
STOCKINETTE 4X48 STERILE,15.00 
STOCKINETTE 6X48 STERILE,30.00 
IMPERVIOUS STOCKINETTE,33.00 
ACE 3 INCH STERILE,12.00 
ACE 4 INCH STERILE,24.00 
ACE 6 INCH STERILE,32.00 
6 INC ACE STER LATEX FREE,22.00 
LAMI CRANI PACK,223.00 
EVACUATOR KIT MED W/10 FR,45.00 
EVACUATOR KIT SOFT W/15FR,45.00 
EVACUATOR W/O DRAIN,34.00 
CWV DRAIN 7FR,92.00 
RESERVOIR FOR BLAKES,30.00 
BLAKE DRAIN W/TROCAR 7MM,91.00 
BLAKE DRAIN 10FR ROUND 3/,82.00 
BLAKE DRAIN W/TROCAR 10MM,91.00 
BLAKE DRAIN 15 FR ROUND 3,82.00 
BLAKE DRAIN W/TROCAR 15FR,91.00 
BLAKE DRAIN 19 FR ROUND 3,82.00 
BLAKE DRAIN W/TROCAR 19FR,91.00 
BLAKE DRAIN 10 W/TROCAR,91.00 
BLADE E-Z CLEAN 4 INCH,33.00 
NEEDLE RETRO 23GA,17.00 
ESMARK BANDAGE 3 INCH STE,0.00 
BANDAGE ESMARK 6 IN STERI,28.00 
C ARM DRAPE,10.00 
BERKLEY SUCTION TUBING,35.00 
BERKLEY SUCTION TUBING,14.00 
NASAL SPLINT,109.00 
SUTURE-AID BOOTIE,3.00 
BERKLEY CANNISTER FILTER,47.00 
BERKLEY COLLECTION CAPS,25.00 
STERI DRAPE 1016 IRRIGATI,10.00 
STERI DRAPE 1000 18X12,3.00 
STERI DRAPE 16X16,4.00 
STERI DRAPE UROLOGIC 1071,15.00 
STERI DRAPE 1018 6 5/8X11,4.00 
STERI DRAPE 1015 U-DRAPE,8.00 
OPSITE 11 X 11 3/4,37.00 
IOBAN DRAPE 6640EZ 13X13,27.00 
IOBAN DRAPE 6651EZ 23X33,27.00 
IOBAN DRAPE ISOLATION,58.00 
Z DRAPE,20.00 
IOBAN DRAPE 6648EZ 23X 23,20.00 
DRAPE RETRACTOR,4.00 
TUBING STACKHOUSE LASER,46.00 
SCOPETTES 2/PK,9.00 
LOOPS MAXI YELLOW,16.00 
LOOPS MINI BLUE,12.00 
SHUNT CAROTIOD 6,150.00 
SOFT ROLL 3 INCH,8.00 
SOFT ROLL 4 INCH,17.00 
DRAPE MEDIUM,12.00 
LAP SHEET W/ARMBOARD COVE,42.00 
IMPERVIOUS SPLIT SHEET,25.00 
LITHOTOMY MINOR PACK,254.00 
MAYO STAND COVER,9.00 
BACK TABLE COVER,21.00 
LOWER EXTREMITY DRAPE,48.00 
LAPAROSCOPIC CHOLE DRAPE,84.00 
KNEE ARTHROSCOPY PACK,171.00 
LEGGING,21.00 
BILATERAL LIMB SHEET,49.00 
LOWER EXTREMITY PACK,293.00 
CYSTOSCOPY PACK,66.00 
BASIC PACK,70.00 
TOTAL KNEE SUPPLY,658.00 
TOTAL HIP SUPPLY,574.00 
OPEN LAP PACK,367.00 
LITHOTOMY PACK (GYN),47.00 
MAJOR PACK  (HIP PACK),205.00 
EENT PACK 0282,96.00 
EYE PACK,481.00 
LAPAROTOMY PACK,10.00 
LAPAROS/PELVISCOPY PACK,96.00 
SHOULDER ARTHROSCOPY PACK,308.00 
SHOULDER PACK,166.00 
LAP CHOLE PACK (DRAPE),472.00 
UNIVERSAL PACK II,127.00 
LIGHT HANDLE,12.00 
DOUBLE BASIN SET KWIK-KIT,63.00 
EYE SHIELD ALUM,7.00 
CATH ACORN 10 FR,52.00 
BONE CEMENT PALACOS R,364.00 
BONE CEMENT REFOBACIN R 1,"1,328.00 "
BLOOD WARMER CUFF HOTLINE,31.00 
EXTENSION SET ST,16.00 
LACTATED RINGERS POUR BOT,16.00 
PREP CLIPPER BLADE,7.00 
ENDO CORD ELITE,67.00 
YELLOW CUT LOOP 24FR ELIT,308.00 
ENDOSCOPIC CORD,53.00 
BIPOLAR CORD,20.00 
INTERSCALENE/FEMORAL BLCK,73.00 
SHARPS COUNTER & DISPOSAL,24.00 
COMPACT CEMENT MIXING SYS,445.00 
CEMENT MIXING SYS - KNEE,258.00 
CEMENT MIXING SYSTEM-HIP,577.00 
SUCTION CANN O.R. 3300ML,5.00 
COLLAR BUTTON VENT TUBE,68.00 
SHEEHY DRAIN TUBE,39.00 
FALLOPIAN RINGS - DBL INS,574.00 
CAUTERY EXTENSION,7.00 
INSUFFLATION TUBING DISP,43.00 
CAP SCOPE WARMER,28.00 
SCOPE WARMERS,27.00 
BERKELY CANNISTER W/O FIL,44.00 
PAD - OPERATING TABLE,40.00 
VASCULAR BOOT SMALL ROOKE,383.00 
VASCULAR BOOT MEDIUM ROOK,442.00 
VASCULAR BOOT LARGE ROOKE,422.00 
SURGICEL 2X14,245.00 
SURGICEL 4X8-1902,253.00 
STERIS DISP LIGHT HANDLE,7.00 
URETERAL CATHETER 5 FR WH,37.00 
URETERAL CATHETER 6 FR WH,37.00 
SURGICAL PATTY 1/4X6,28.00 
SURGICAL 1/2X1/2 INCH PAT,49.00 
SURGICAL PATTY 1/2X1 1/2,52.00 
SURGICAL PATTY 1/2X3 INCH,52.00 
SURGICAL PATTY 1X3,52.00 
PHACO PACK,303.40 
CAPSULE POLISHER,28.00 
HAND DRAPE,73.00 
BLANKET UPPER BODY BLAIR,12.00 
BLANKET WARMING LOWER BOD,12.00 
BLANKET WARMING FULL BOD,10.00 
FLOOR SUCTION PUDDLE GUPP,111.00 
MANIFOLD/FILTER 4-PORT NE,110.00 
KNEE POSITIONER PADS,189.00 
TRIANGLE POSITIONING PAD,139.00 
PAD WILSON FRAME LF,131.00 
DRAPE ORTHO HIP W/POCKET,111.00 
DRESSING AQUACELL 3.5X12,160.00 
PULSAVAC IRRIGATION SET,259.00 
FAN SPRAY TIP,38.00 
PULSAVAC FEMORAL CANAL BR,75.00 
TIP FEMORAL CANAL PULSAVA,35.00 
EPIDURAL TRAY SINGLE SHOT,68.00 
SPINAL ANESTHESIA TRAY,36.00 
OXYGEN CATHETER 14FR 16 I,3.00 
NEEDLELESS INJ MANIF 2PRT,26.00 
LMA SIZE 4,735.00 
LMA SIZE 5,39.00 
LAM SIZE 3,735.00 
CATH TRAY PERICARDIOCENTE,824.00 
POLARCARE GLACIER,516.00 
WOUND PACKING PLAIN 1/2,17.00 
WOUND PACKING PLAIN 1 INC,19.00 
WOUND PACKING PLAIN 2 INC,29.00 
ADAPTIC 3X3,3.00 
ADAPTIC 3X8,5.00 
XEROFORM 1X8,5.00 
XEROFORM 5 X 9,3.00 
BIOPATCH DRESSING 1 W 7.0,12.00 
STERI STRIP 1/4X4,10.00 
STERI STRIP 1/2X4,3.00 
TRANSPARENT DRESSING 4X5,3.00 
TRANSPARENT DRESSING 6X8,5.00 
TRANSPARENT DRESSIGN 4X10,4.00 
TRANSPARENT DRESSING 8X12,6.00 
TRANSPARENT DRESSING,41.00 
VAC ABDOMINAL DRESSING,"1,359.00 "
VAC SM DRESSING KIT,206.00 
VAC MEDIUM DRESSING KIT,193.00 
VAC LARGE DRESSING KIT 5-,233.00 
VAC CANISTER KIT WO ISO,136.00 
VAC DRAPES,22.00 
VAC WHITE SOFT FOAM 7.5X1,40.00 
VAC WHITE SOFT FOAM 10X15,49.00 
VAC Y CONNECTORS,6.00 
VAC SILVER DRESSING SMALL,162.00 
VAC SILVER DRESSING MEDIU,194.00 
VAC TRAC PAD,90.00 
EYE PATCH BLACK,5.00 
GAUZE 4X4 ST 10/PK,2.00 
KERLIX ROLL ST,3.00 
KLING 3 INCH ST,1.00 
KLING 4 INCH ST,2.00 
ACE 2 INCH NS,2.00 
ACE 3 INCH NS,3.00 
ACE 4 INCH NS,3.00 
ACE 6 INCH NS,12.00 
BANDAGE 1 INCH COBAN,5.00 
BANDAGE 3 IN COBAN ELASTI,11.00 
COBAN 4 STERILE LATEX FRE,6.00 
4 FLEX 4 LAYER BANDAGE SY,30.00 
AQUACEL AG WOUND DRESSING,53.00 
LYOFOAM EXTRA 8X6,5.00 
CURAFIL GEL/GAUZE 4 X 4,11.00 
SAF-CLENS WOUND CLEANSER,22.00 
AQUA CELL 4X4 HYDRO FIBER,14.00 
SKIN PREP GEL WIPES,16.00 
DUO DERM 4X4 W/CGF,12.00 
WOUND DRAIN COLLECTOR,14.00 
POUCH POST OP ONE PIECE,18.00 
FLANGE 2-1/4 INCH FLEXIBL,10.00 
UROSTOMY POUCH 2 INCH,5.00 
COLOSTOMY POUCH 2 INCH,7.00 
FLANGE 4 INCH,17.00 
COLOSTOMY POUCH 4 INCH,7.00 
IRRIGATION KIT,61.00 
COLOSTOMY POUCH CLAMP,7.00 
ACCUSEAL ADAPTER,7.00 
BILE BAG,39.00 
DRAIN TUBE ATTACHMENT,13.00 
DURA PREP SOLUTION 24ML,11.00 
SUTURE SET STERILE,48.00 
STAPLE REMOVER,17.00 
DERMABOND PRO PEN DNX12,27.00 
HEIMLICH VALVE CHEST DRAI,131.00 
MICRO-INTRODUCER 4.5FR,136.00 
MICRO-INTRODUCER 5FR SAFE,136.00 
NEEDLE GUIDE KIT 21G SITE,88.00 
TUBING PRIMARY GRAVITY MI,18.00 
POWERLOC SAFETY 20X1,26.00 
BLOOD HAND PUMP TUBING,19.00 
MICROBORE TUBING 36 INCH,17.00 
MINIVOLUME EXT SET W/LL,6.00 
EXTENSION SET 32 INCH,7.00 
7 INCH EXTENSION SET,4.00 
EPIDURAL PUMP TUBING,6.00 
TUBING PLUM PUMPSET ALARI,31.00 
PIGGY BACK,22.00 
TUBING MINI DRIP PRIMARY,19.00 
T-PORT PEDI EXT SET,17.00 
CENTRAL LINE DRESSING KIT,37.00 
JUGULAR PUNCTURE KIT PEDS,92.00 
JUGULAR PUNCTURE KIT ADUL,95.00 
CENTRAL LINE SINGLE LUMEN,96.00 
CENTRAL LINE KIT MULTILUM,355.00 
CEBTRAL LINE KIT MULTILUM,437.00 
CENTRAL LINE KIT MULTILUM,205.00 
RADIAL ARTERY CATH SET AR,46.00 
TRANSPAC IV MONITOR KIT,0.00 
SWAN GANZ CATHETER VIP,230.00 
TRANSPAC IV BIFURCAT MONO,0.00 
SWAN GANZ CONT FLOW,"1,166.00 "
CARDIAC OUTPUT,60.00 
LIFEGUARD ACCESS NDL 20GX,29.00 
LIFEPORT ACCESS NEEDLE 20,29.00 
LIFEPORT ACCESS NEEDLE 19,19.00 
LIFEPORT ACCESS NDL 22G X,17.00 
LIFEPORT ACCESS NDL 22G X,30.00 
INTRODUCER KIT PERCUTANEO,177.00 
PROBE COVER NEEDLE GUIDE,11.00 
TONGUE BLADE STERILE,24.00 
SENSOR SPO2 INFANT,21.00 
SENSOR SPO2 ADULT NEONATA,21.00 
VASELINE 3OZ TUBE,3.00 
LUBRICATING JELLY 5 OUNCE,6.00 
SHOULDER WRAP,115.00 
WIRE CUTTER 5,49.00 
CAUTERY HI TEMP,46.00 
SENSOR SPO2 LNCS NEO,37.00 
SALINE IRRIGATION BTL,9.00 
HIP WRAP,115.00 
STERILE WATER IRRIGATION,8.00 
SCALPEL #10 STERILE DISPO,3.00 
SCALPEL #11 STERILE DISPO,12.00 
SCAPEL #15 STERILE DISP,3.00 
MAT PREVALON 3241,362.00 
GAIT BELT X-LONG,23.00 
GAIT BELT,17.00 
BINDER ABDOM 12 SM/MED,22.00 
BINDER ABDOMIN 12 LG/XLG,48.00 
EAR WICK,7.00 
MATTRESS LOW AIR LOSS,183.00 
WHEELCHAIR CUSHION,48.00 
DOUGHNUT CUSHION,8.00 
CONNECTING TUBING 72 X 3,1.00 
SUCTION CANISTER 1200ML,4.00 
HEEL PROTECTOR BOOT,155.00 
OXISENSOR TRANS ADULT,16.00 
CAPD Y SET,43.00 
CAPD CAP,29.00 
CAPD TRANSFER SET,259.00 
CAPD CLAMP,30.00 
BIOPSY TRAY W/O NEEDLE,82.00 
THORACENTESIS TRAY,48.00 
LUMBAR PUNCTURE INFANT,30.00 
LUMBAR PUNCTURE PEDS,98.00 
LUMBAR PUNCTURE ADULT 20,57.00 
SCD LEGGING SMALL THIGH,189.00 
SCD LEGGING REGULAR THIGH,228.00 
SCD LEGGING LARGE THIGH,298.00 
SCD LEGGING KNEE LENGTH,158.00 
SCD FOOT IMPULSE BOOT REG,296.00 
SCD IMPULSE BOOT LARGE,368.00 
TED HOSE KNEE MED REG,17.00 
TED HOSE KNEE LG REG,17.00 
TED HOSE THIGH MEDIUM-LON,15.00 
TED HOSE THIGH LARGE/REGU,15.00 
TED HOSE X-LG/LONG W/BELT,39.00 
ELECTRODE PAD PED STAT PA,311.00 
ELECTRODE CPR-D PADZ ADUL,539.00 
ADULT PACER DEFIB PADS,293.00 
DEFIB PAD,7.00 
CERVICAL COLLAR FOAM SM,30.00 
CERVICAL COLLAR FOAM UNIV,7.00 
PHILADELPHIA COLLAR PEDS,31.00 
PHILADELPHIA COLLAR 3 1/4,33.00 
PHILADELPHIA COLLAR 3 1/4,33.00 
PHILADELPHIA COLLAR 3 1/4,56.00 
PHILADELPHIA COLLAR 4 1/4,31.00 
PHILADELPHIA COLLAR 4 1/4,27.00 
CLAVICLE SPLINT X-SM CHIL,14.00 
SHOULDER IMMOBILIZER UNIV,90.00 
COCKUP SPLINT 8 EXTRA SM,26.00 
COCKUP SPLINT X SM LT,28.00 
COCKUP SPLINT 8 SMALL RI,28.00 
COCKUP SPLINT 8 SMALL LE,26.00 
COCKUP SPLINT 8 MEDIUM R,48.00 
COCKUP SPLINT 8 MEDIUM L,41.00 
COCKUP SPLINT 8 LARGE RI,28.00 
COCKUP SPLINT 8 LARGE LE,26.00 
COCKUP WRISTLET X-LGE RIG,28.00 
COCKUP WRISTLET X-LGE LEF,26.00 
FINGER SPLINT STRIP 1X18,4.00 
FINGER SPLINT SPOON 2 5/8,3.00 
FINGER SPLINT BASEBALL LG,6.00 
FINGER SPLINT COT 4 INCH,5.00 
KNEE IMMOBILIZER UNIVERSA,107.00 
KNEE SPLINT 22 1/2 XLG,73.00 
UNIVERSAL AIR CAST,41.00 
BUNNY BOOT,68.00 
SURGICAL SHOE MALE MEDIUM,17.00 
SURGICAL SHOE MALE LARGE,30.00 
BUCKS TRACTION UNIVERSAL,42.00 
SPLINT SYS 2 ORTHO-GLASS,4.00 
SPLINT SYS 3 ORTHO-GLASS,5.00 
SPLINT SYS 4 ORTHO-GLASS,7.00 
SPLINT SYS 5 ORTHO-GLASS,7.00 
COTTON ROLL STERILE,63.00 
PLASTER SPLINT 3X15,1.00 
PLASTER ROLL 2 INCH,99.00 
PLASTER ROLL 3 INCH,77.00 
PLASTER ROLL 6 INCH,225.00 
CASTING TAPE 5 INCH,14.00 
CASTING TAPE 4 INCH,35.00 
CRUTCHES CHILD,50.00 
CRUTCHES YOUTH,30.00 
CRUTCHES MED/ADULT,53.00 
CRUTCHES TALL ADULT,31.00 
WALKER YOUTH,123.00 
WALKER ADULT,128.00 
CANE,37.00 
CANE QUAD BASE,56.00 
AUTOVAC W/ 3/16 DRAIN 15F,528.00 
AUTOVAC FILTER 40 MICRON,23.00 
COLLAR 911 - PEDIATRIC,14.00 
COLLAR 911 - REG ADULT,17.00 
FOLEY CATH 8FR 3CC,35.00 
FOLEY CATH 10FR 3CC,35.00 
FOLEY CATH 12 FR 5CC,14.00 
FOLEY CATH 14 FR 5CC,14.00 
FOLEY CATH 16 FR 5CC,14.00 
FOLEY CATH 16FR 5CC 3WAY,27.00 
FOLEY CATH 16FR 30CC,11.00 
FOLEY CATH 18 FR 5CC,20.00 
FOLEY CATH 18FR 5CC 3WAY,49.00 
FOLEY CATH 18FR 30CC,11.00 
FOLEY CATH 20 FR 5CC,14.00 
FOLEY CATH 20FR 5CC 3WAY,33.00 
FOLEY CATH 20 FR 30 CC,10.00 
FOLEY CATH 22 FR 5CC,21.00 
FOLEY CATH 22 FR 30CC,11.00 
FOLEY CATH 24 FR 5CC,14.00 
FOLEY CATH 24 FR 5CC 3WAY,27.00 
FOLEY CATH 24 FR 30 CC,12.00 
FOLEY CATH 24 FR 30CC 3WA,32.00 
FOLEY CATH 26 FR 30CC,8.00 
FOLEY CATH 26 FR 30CC 3WY,26.00 
STER WATER INJ SOL 2X5000,0.00 
SODIUM CHLORIDE 0.9% 3000,47.00 
COUDE CATH 12 FR 5CC,42.00 
COUDE CATH 14 FR 5CC,42.00 
COUDE CATH 16 FR 5CC,42.00 
COUDE CATH 18 FR 5CC,42.00 
COUDE CATH 18 FR 30CC,28.00 
COUDE CATH 20 FR 5CC,42.00 
COUDE CATHETER 20FR 30CC,51.00 
COUDE CATHETER 22FR 5CC,42.00 
COUDE CATH 22 FR 30CC,28.00 
COUDE CATH 24 FR 5CC,26.00 
LR 3000,49.00 
GLYCINE 3000,61.00 
MALECOT CATH 24FR,66.00 
NORMAL SALINE 5000 BAG,98.00 
CATH COUDE 3 WAY 30 CC 20,119.00 
STRAIGHT CATH TRAY W/O CA,5.00 
STRAIGHT CATH TRAY 14 FR,7.00 
URIMETER,25.00 
URIMETER TRAY W/CONN 16FR,53.00 
FOLEY TRAY W/O CATH,12.00 
FOLEY TRAY W/CATH 14FR,37.00 
FOLEY TRAY W/CATH 16FR,36.00 
FOLEY TRAY W/CATH 18FR,36.00 
URINARY DRAINAGE BAG,7.00 
