Charge Identifier,CDM Description, 2019 Price ,,,
27084978,HC BLADE PKG PLUS LONG HIP F-SERIES 4.0MM 0385-544-000, $285.00 ,,,
27085491,HC RETRACTOR ALEXIS-O C-SECTION DISP LGE 9-14CM G6313, $335.00 ,,,
27085757,"HC CATHETER ANGIO TORCON NB .038"" 5FR 40CM  HNB5.0-38-40-P-NS-KMP G06749", $63.00 ,,,
27085968,HC PROTECTOR ALEXIS ORTHOPAEDIC HR004, $852.00 ,,,
27085970,HC CATHETER THORACIC STD 28FR 8888570549, $23.00 ,,,
27085973,HC PROBE SHOCK PULS SPL-PD376," $2,758.00 ",,,
27085974,HC SPRAY EVICEL AIRLESS ACCESORY 3921S, $107.00 ,,,
27085976,HC BONE CUTTER 4MM 13CM SNLG USE DISP AR-8400BC, $197.00 ,,,
27085977,HC DISSECTOR CVD 4MM 13CM DISP AR-8400CDS, $197.00 ,,,
27085978,"HC CUFF TOURN 30"" DUAL PORT SNGL BLADDER BLUE LF DISP 5921-030-235", $92.00 ,,,
27085980,HC CAP SEALING 2MM GREEN A4558, $15.00 ,,,
27086039,HC DRILL BIT 14MM 48771614," $1,280.00 ",,,
27086042,HC DRILL BIT 12MM 48771612," $1,280.00 ",,,
27086046,HC Catheter Trapper Exchange," $1,727.00 ",,,
27086050,HC INJECTOR BONE CEMENT RESTRICTOR W/ NOZZLE C/M 16MM & 25MM  3, $879.00 ,,,
27086059,HC PUNCH BIOPSY SKIN STRL DISP 4MM P425, $9.00 ,,,
27086516,HC PACK TOTAL HIP SLH (CS/1) SLTH17U2, $40.00 ,,,
27087699,HC DOPPLER NEEDLE, $617.00 ,,,
27087713,HC CLAMP PIN LG 6 POSTION 390.010," $2,452.00 ",,,
27087723,HC LIGATOR MULTI-BAND SHORT SHOT SAEED HEMORRHOIDAL BANDER W/TRI-VEIW ANASCOPE HMBL-4-TRI G34063, $146.00 ,,,
27087746,HC BASKET STONE RETRIEVAL SEGURA 3.0FR 20MM X 120CM 380-110/M0063801100, $852.00 ,,,
27089014,HC ADAPTER ATTAIN SAFE SHEATH," $1,388.00 ",,,
27089116,HC CABLE DECAPOLAR CONNECTER, $419.00 ,,,
27089117,HC CABLE CONNECTING 10-PIN, $419.00 ,,,
27089118,HC CABLE RFA IBI, $656.00 ,,,
27089123,HC CABLE 9 POLE 3FT THERMISTOR, $800.00 ,,,
27089124,HC CABLE ABLATION 150CM 402549, $962.00 ,,,
27089125,HC CABLE INTERFACE 10PIN CONNECT, $998.00 ,,,
27089126,HC CABLE INTELLA TIP MIFI 620," $1,616.00 ",,,
27089309,HC CABLE ABLATION SAFIRE TX TO IBI, $744.00 ,,,
27089311,HC CABLE IBI 24 POLE 85931, $503.00 ,,,
27089636,HC GELATIN GELFOAM SPONGE 12-7 2CM X 6CM X 7CM (EA=12PIECES) 1545, $20.00 ,,,
27089828,"HC DRESSING BIOPATCH ANTIMICROBIAL 1"" DISK W/4.0MM CENTER HOLE 4150", $32.00 ,,,
27089892,HC BLADE TOOTHBRUSH OXFORD KEEL STRYKER HUB DISP 506109," $1,641.00 ",,,
27089924,HC BLADE ARTHRO GATOR 48MM (ORDER IN 6'S) C9262, $200.00 ,,,
27089925,HC BLADE SAW RECIPROCATING TAPERED 0.015MM X 22.5MM 5100-337-133, $304.00 ,,,
27089926,HC CABLE DECUPOLAR QUICK TO PINS 5454S (REPRO HEMM 117280), $224.00 ,,,
27089927,HC CABLE EXTENSION RESPONSE RED 150CM 401975, $224.00 ,,,
27089928,HC CABLE EXTENSION SUPREME 150 CM 401982, $224.00 ,,,
27089929,"HC CABLE SPLIT HANDLE EXT 9"" D134401", $574.00 ,,,
27089930,HC CABLE SURGICAL 12 FT STRL DISP (PK/5) 5833SL, $224.00 ,,,
27089939,HC CHISEL BLADE SINGLE USE 16MM 399.56, $269.00 ,,,
27089940,HC CHISEL BLADE SINGLE USE 5MM 399.58, $269.00 ,,,
27089941,HC CONNECTOR CABLE DECAPOLAR 401552 (REPRO HEMM 9341), $224.00 ,,,
27089943,HC DRILL BIT 2.0MM AR-8943-16, $433.00 ,,,
27089944,HC DRILL BIT CALIBRATED 2.5MM AR-8943-13, $387.00 ,,,
27089945,HC DRILL BIT CANN LGE QUICK CONNECT 7.3MM X 300MM 310.495," $2,154.00 ",,,
27089946,HC DRILL BIT LGE CANN QUICK COUPLING 17MM 300MM 357.394," $3,586.00 ",,,
27089947,HC DRILL BIT QUICK COUPLING 1.1MM 60MM 310.11, $357.00 ,,,
27089948,HC DRILL BIT QUICK COUPLING 1.5MM 97MM W/DEPTH MARK 310.507, $734.00 ,,,
27089949,HC DRILL BIT STEPPED LGE CANN QUICK COUPLING 6.0MM/10.0MM 357.403," $2,675.00 ",,,
27089950,HC DRILL BIT WIRE PASS 1.5MM 5820-103-15, $687.00 ,,,
27089951,HC DRILL TWIST 03.2 X 180 W/AO FITTING CALIBRATED 700356, $850.00 ,,,
27089952,HC DRILL TWIST 04.5 X 180 W/AO FITTING 700354, $850.00 ,,,
27089954,HC INTERFACE CABLE F/DIAGNOSTIC WITH AUTOID CATHETERS (UP TO 10POLE) TO BLUE PORT CB3412CT, $311.00 ,,,
27089955,HC INTERFACE CABLE F/DX WITH AUTOID CATHETERS (UP TO 10POLE) TO YELLOW PORT CY1212CT, $311.00 ,,,
27089956,HC INTERFACE CABLE F/VARIABLE LASSO NAVIGATION CATHETERS CR3434CT, $574.00 ,,,
27089957,HC INTERFACE F/CURRENT NAVIGATION THERAPUETIC CATHETERS CR3425CT (REPRO HEMM 276158), $311.00 ,,,
27089958,HC PROBE JOINT VULCAN TAC-C II 7209628," $1,582.00 ",,,
27089959,HC REAMER HEAD LOW PROFILE STRL 9MM AR-1409LP, $889.00 ,,,
27089960,HC TAP CANN F/4.0MM SCREWS 311.63," $2,201.00 ",,,
27089961,HC TAP F/4.0MM CANC SCREWS 110MM 311.34, $566.00 ,,,
27089962,HC TOOL DISSECTING COURSE DIAMOND BALL DISP 2MM S-2DC, $584.00 ,,,
27089965,HC WRAP COBAN 2 LAYER LITE COMPRESSION SYSTEM 2794N, $52.00 ,,,
27090030,HC APPLIER CLIP ETHICON ENDOCLIP MED/LGE ER320, $554.00 ,,,
27090035,HC APPLIER MCA MULTI-CLIP 20 LG MCL20, $333.00 ,,,
27090037,HC APPLIER MCA MULTI-CLIP 20 MED 9-3/8  MSM20, $237.00 ,,,
27090041,HC ENDOCLOSE TROCAR CLOSURE SITE 173022, $140.00 ,,,
27090043,"HC HEMOSTAT ABSORBABLE SURGICEL STRL 2"" X 3"" 1953", $156.00 ,,,
27090047,HC BAG SPECIMEN ENDO POUCH RETRIEVAL 10MM POUCH, $492.00 ,,,
27090111,"HC BARRIER ADHESION SEPRAFILM 5"" X 6"" MEMBRANE 4301-02/430102"," $1,537.00 ",,,
27090112,"HC BARRIER INTERCEED 3"" X 4"" ADH ABS SHEETS 4350"," $1,611.00 ",,,
27090133,HC BASKET STONE RETRIEVAL ZEROTIP 4-WIRE 1.9FR  390-105/M006390105," $1,414.00 ",,,
27090145,HC BANDAGE KIT COMPRESSION MULTI-4 LAYER PROFORE LF 66020626, $74.00 ,,,
27090309,HC CATHETER FOLEY 2-WAY 20FR 30ML LUBRICATH LTX STRL 0166L20, $24.00 ,,,
27090313,HC RESERVOIR CHEST DRAIN ATRIUM OASIS WET/DRY SNGL COLLECTION STRL LF 3600-100, $165.00 ,,,
27090325,HC INTRODUCER SUPRA-PUBIC LAWRENCE AC851, $103.00 ,,,
27090328,HC CATHETER CHOLANGIOGRAM LAP CHOLE C1002, $420.00 ,,,
27090351,HC CATHETER THORACIC 28FR RT ANG TAPER TIP PVC STRL 8128, $33.00 ,,,
27090354,HC CATHETER THORACIC 32FR RT ANG TAPER TIP PVC STRL 8132, $31.00 ,,,
27090392,HC APPLIER CLIP ENDO LGE 176625," $1,544.00 ",,,
27090393,HC APPLIER CLIP ETHICON ENDOCLIP LGE ER420, $505.00 ,,,
27090416,"HC CONNECTOR ""Y"" STRL 1/4"" X 1/4"" X 1/4"" 050-524-000", $22.00 ,,,
27090419,"HC CONNECTOR ""Y"" STRL 3/8"" X 3/8"" X 3/8"" 050-526-000", $20.00 ,,,
27090430,HC CUTTER LINEAR 75MM THICK TISSUE TLC75," $1,969.00 ",,,
27090442,HC CUTTER FASC/THIN ENDOPATH RELOAD TRW35," $1,419.00 ",,,
27090458,"HC DERMACARRIER MESHER II 1.5 STRL 8"" X 3""  2195-12-00", $73.00 ,,,
27090603,"HC DRESSING COTTONOID SURGICAL PATTY 1"" X 3"" 801408", $50.00 ,,,
27090604,"HC DRESSING COTTONOID SURGICAL PATTY 1/2"" X 1-1/2"" 801404", $54.00 ,,,
27090606,"HC DRESSING COTTONOID SURGICAL PATTY 1/2"" X 1/2"" 801400", $50.00 ,,,
27090607,"HC DRESSING COTTONOID SURGICAL PATTY 1/2"" X 1"" 801402", $50.00 ,,,
27090608,"HC DRESSING COTTONOID SURGICAL PATTY 1/2"" X 3"" 801407", $50.00 ,,,
27090613,HC GELATIN GELFOAM SPONGE SZ 100 NON-COMPRESSED 8CM0342-01) (WILL INVOICE AS EA BUT IS CT/6 PIECES), $88.00 ,,,
27090617,"HC HEMOSTAT ABSORBABLE SURGICEL STRL 4"" X 8"" 1952", $286.00 ,,,
27090624,"HC HEMOSTAT ABSORBABLE SURGICEL FIBRILLAR STRL 1"" X 2"" 1961", $295.00 ,,,
27090641,HC ELECTRODE LIGASURE V 5MM SEALER/DIVIDER 37CM TOTAL LENGTH DOLPHIN TIP STRL SNGL USE LS1500," $2,538.00 ",,,
27090661,HC ENDO CATCH II GOLD POUCH SPECIMEN 10MM INSTRUMENT ECATCH 10G 173050G, $855.00 ,,,
27090668,HC ENDOSTITCH SUTURING DEVICE 10MM 173016, $645.00 ,,,
27090790,HC ROD ATTACHMENT F/LGE MULTI-PIN CLAMP 390.003 (EXTERNAL)," $2,118.00 ",,,
27090797,HC DRILL BIT TWIST AO SHAFT END 2.0MM 60-20385, $783.00 ,,,
27090804,HC FIBER LASER SLIMLINE 550 MICRON DELIVERY SYSTEM (REPOSABLE 25 USES) 840843, $95.00 ,,,
27090968,HC INTRODUCER INTROSYTE-N AUTOGUARD 1.9FR 26GA 384008, $144.00 ,,,
27091341,HC CUTTER ARTICULATING LINEAR ENDOPATH ATW35," $3,548.00 ",,,
27091355,HC TROCAR THORACOPORT W/NON-CONDUCTIVE SLEEVE 5.5MM 179305, $111.00 ,,,
27091380,HC PACK TOTAL KNEE CUSTOM SSTK16B, $77.00 ,,,
27091398,HC DRILL BIT TWIST AO END 1.4MM X 27MM 60-14326, $432.00 ,,,
27091420,HC SPLINT NASAL AIRWAY DOYLE 15-24050, $258.00 ,,,
27091434,HC APPLICATOR ENDOSCOPIC SURGIFLO 1995, $201.00 ,,,
27091435,HC PACK LAVH CUSTOM SLELS SELV25N, $44.00 ,,,
27091441,HC RETRACTOR DEXTRUS MED ACCESS DISP FLR02, $278.00 ,,,
27091461,HC EXTRACTOR SKIN STAPLER PSX, $8.00 ,,,
27091483,HC TROCAR  BLADELESS XCEL ENDOPATH 15MM B15LT, $157.00 ,,,
27091495,HC SYSTEM NOVASURE SNGL DEVICE NS2000US DISP (FOR EREATMENT) 915002-02 (DOES NOT INCLUDE SURESOUND)," $7,170.00 ",,,
27091503,"HC CAUTERY TIP BLADE E-Z CLEAN ELECTRODE 2.5"" STD 0012", $30.00 ,,,
27091504,HC APPLIER ENDO CLIP 5MM 176620," $1,544.00 ",,,
27091506,HC CANNULA CLEAR THRD 8.5MM 214120, $30.00 ,,,
27091539,HC URINEMETER FOLEY CATH TEMP SENSING TRAY LTX 16FR SILVER COATED W/STATLOCK 319116A, $170.00 ,,,
27091546,HC TUBE TEFLON T2 HUMERUS SYSTEM 1806-0073S," $1,129.00 ",,,
27091548,HC DRILL BIT STRL 3.5MM X 130MM 1806-3550S, $644.00 ,,,
27091569,HC DILATOR & CANNULA VERSASTEP 5MM W/SLEEVE VS101005, $358.00 ,,,
27091612,HC ELECTRODE RESUSCITATION ONE STEP 8900-0214-01, $326.00 ,,,
27091620,"HC WRAP COBAN SELF-ADHERENT STRL LF 6"" X 5YDS 2086S", $22.00 ,,,
27092718,HC ROD CARBON FIBER EXTERNAL 250MM 394.84," $1,668.00 ",,,
27092720,HC ROD CARBON FIBER EXTERNAL 350MM 394.86," $1,212.00 ",,,
27092721,HC ROD CARBON FIBER EXTERNAL 400MM 394.87," $1,334.00 ",,,
27093448,HC TUBE ENDOTRACH NIM EMG REINF CUFFED DISP 8.0MM 82-29308," $1,669.00 ",,,
27093452,HC TUBE GASTROSTOMY FEEDING 20FR 20ML 0100-20, $223.00 ,,,
27093702,HC SEALANT TISSEEL KIT FIBRIN VALUPAK VH S/D 10ML (W/EASY PREP 1501252VP) 1500954," $2,082.00 ",,,
27093853,HC DRILL BIT 3.2MM X 145MM DISP 03.010.103," $1,026.00 ",,,
27093883,HC DRILL BIT 4.5MM X 165MM DISP 03.010.089," $1,996.00 ",,,
27094306,HC BAG BILE DRAIN BARDIC STRL 19OZ T-TUBE W/LTX RUBBER BELT 0015850, $29.00 ,,,
27094950,HC NEEDLE INSUFFLATION DISP 14GA X 120MM C2201, $79.00 ,,,
27094989,"HC SUTURE PDS II 0 Z990G 60"" VIL MONO LOOP CTX 1/2 CIRCLE NDL TAPER POINT ABSORBABLE Z990G", $32.00 ,,,
27094991,HC SUTURE VICRYL 3-0 SH CR J774D, $62.00 ,,,
27095002,"HC SUTURE VICRYL 4-0 J426H 27"" UND BR PS-2 3/8 CIRCLE PRECISION POINT-REVERSE CUTTING  ABSORBABLE", $96.00 ,,,
27095010,"HC SUTURE PDS II 4-0 Z304H 27"" VIL MONO RB-1 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $9.00 ,,,
27095011,"HC SUTURE PROLENE 0 8434H 30"" BL MONO CT 1/2  CIRCLE NDL TAPER POINT NON-ABSORBABLE", $8.00 ,,,
27095013,"HC SUTURE PROLENE 3-0 8522H 36"" BL MONO SH 1/2  CIRCLE NDL TAPER POINT NON-ABSORBABLE", $26.00 ,,,
27095014,"HC SUTURE PROLENE 4-0 8557H 36"" BL MONO RB-1 1/2  CIRCLE NDL TAPER POINT NON-ABSORBABLE", $138.00 ,,,
27095018,"HC SUTURE PROLENE 6-0 M8706 30"" BL MONO C-1 3/8 CIRCLE NDL TAPER POINT NON-ABSORBABLE", $146.00 ,,,
27095019,"HC SUTURE PROLENE 7-0 8702H 24"" BL MONO BV-1 3/8 CIRCLE NDL TAPER POINT NON-ABSORBABLE", $52.00 ,,,
27095024,"HC SUTURE SILK 0 C021D 18"" BLK BR CT-1 1/2 CIRCLE NDL TAPER POINT NON-ABSORBABLE", $32.00 ,,,
27095029,"HC SUTURE SILK 3-0 C017D 30"" BLK BR SH 1/2 CIRCLE NDL TAPER POINT NON-ABSORBABLE", $55.00 ,,,
27095036,"HC SUTURE ETHIBOND 5 MB46G 30"" GRN BR V-40 1/2 CIRCLE TAPERCUT NDL NON-ABSORBABLE", $86.00 ,,,
27095037,"HC SUTURE ETHIBOND 2-0 X523H 36"" GRN BR SH 1/2 CIRCLE NDL TAPER POINT NON-ABSORBABLE", $16.00 ,,,
27095042,"HC SUTURE PROLENE 1 8845G 60"" BL MON  XLH 1/2  CIRCLE NDL TAPER POINT NON-ABSORBABLE", $23.00 ,,,
27095043,"HC SUTURE PROLENE 2 8825G 60"" BL MON TP-1 1/2  CIRCLE NDL TAPER POINT NON-ABSORBABLE", $26.00 ,,,
27095045,"HC SUTURE PROLENE 6-0 8706H 30"" BL MONO C-1 3/8 CIRCLE NDL TAPER POINT NON-ABSORBABLE", $138.00 ,,,
27095046,"HC SUTURE SILK 2-0 C016D 30"" BLK BR SH 1/2 CIRCLE NDL TAPER POINT NON-ABSORBABLE", $96.00 ,,,
27095052,"HC SUTURE VICRYL 2 J849G 27"" UND BR TP-1 1/2 CIRCLE TAPER POINT NDL ABSORBABLE", $40.00 ,,,
27095058,HC SUTURE MONOCRYL 2-0 DB; ARM SH & OR-6 D8550, $122.00 ,,,
27095059,"HC SUTURE VICRYL 0 LIG 18"" ENDOLOOP LIGATURE EJ10G", $164.00 ,,,
27095062,"HC SUTURE GORE-TEX CV-0 0N05 36"" THX-26", $107.00 ,,,
27095065,HC SUTURE VICRYL 2-0 SH CR J775D, $63.00 ,,,
27095066,"HC SUTURE PDS II 1 Z881G 48"" VIL MONO LOOP XLH 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $28.00 ,,,
27095067,"HC SUTURE MONOCRYL 5-0 Y844G 18"" UND MONO PC-3 3/8 N COSMETIC-CONVENTIONAL CUTTING PRIME ABSORBABLE", $24.00 ,,,
27095080,"HC SUTURE CHROMIC 0 812H 27"" CHR GUT CT-1 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $18.00 ,,,
27095081,"HC SUTURE CHROMIC 0 884H 27"" CHR GUT CT-2 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $12.00 ,,,
27095082,"HC SUTURE CHROMIC 2-0 811H 27"" CHR GUT CT-1 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $18.00 ,,,
27095083,"HC SUTURE CHROMIC 2-0 G123H 27"" CHR GUT SH 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $18.00 ,,,
27095084,"HC SUTURE CHROMIC 2-0 N878H 27"" CHR GUT UR-6 5/8 CIRCLE NDL TAPER POINT ABSORBABLE", $19.00 ,,,
27095085,"HC SUTURE CHROMIC 3-0 G122H 27"" CHR GUT SH 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $18.00 ,,,
27095088,"HC SUTURE CHROMIC 4-0 U203H 27"" CHR GUT RB-1 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $18.00 ,,,
27095089,"HC SUTURE CHROMIC 7-0 1745G 18"" CHR GUT CS175-8 1/2 CIRCLE NDL ULTIMA-SPATULA ABSORBABLE", $89.00 ,,,
27095091,"HC SUTURE ETHILON 5-0 698G 18"" BLK MONO P-3 3/8 CIRL PRECISION POINT-REVERSE CUTTING NON-ABSORBABLE", $63.00 ,,,
27095094,"HC SUTURE ETHILON 8-0 1716G 12"" BLK MONO TG175-8 1/2 CIRCLE NDL MICROPOINT-SPATULA NON-ABSORBABLE", $46.00 ,,,
27095097,"HC SUTURE MERSILENE 4-0 R691G 18"" WHT BR P-3 3/8 CIL PRECISION POINT-REVERSE CUTTING NON-ABSORBABLE", $17.00 ,,,
27095098,"HC SUTURE MONOCRYL 3-0 Y497G 18"" PS-2 3/8 CIRCLE UNMONO PRECISION POINT-REVERSE CUTTING  ABSORBABLE", $107.00 ,,,
27095100,"HC SUTURE MONOCRYL 4-0 Y494G 18"" P-3 3/8 CIRCLE UNDMONO PRECISION POINT-REVERSE CUTTING  ABSORBABLE", $19.00 ,,,
27095102,"HC SUTURE PDS II 3-0 Z497G 18"" CLEAR MONO PS-2 3/8 E NDL PRECISION POINT-REVERSE CUTTING ABSORBABLE", $17.00 ,,,
27095103,"HC SUTURE PDS II 3-0 Z316H 27"" VIL MONO SH 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $12.00 ,,,
27095105,"HC SUTURE PDS II 1 Z468H 27"" VIL MONO CP-1 1/2 CIRCE NDL PRECISION POINT-REVERSE CUTTING ABSORBABLE", $19.00 ,,,
27095107,"HC SUTURE PDS II 4-0 Z494G 18"" CLEAR MONO P-3 3/8 CE NDL PRECISION POINT-REVERSE CUTTING ABSORBABLE", $18.00 ,,,
27095110,"HC SUTURE PDS II 5-0 Z493G 18"" CLEAR MONO P-3 3/8 CE NDL PRECISION POINT-REVERSE CUTTING ABSORBABLE", $19.00 ,,,
27095112,"HC SUTURE PDS II 1 Z371T 36"" VIL MONO CTX 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $19.00 ,,,
27095115,"HC SUTURE PLAIN 5-0 1915G 18"" PLAIN FAST ABSORBING N COSMETIC-CONVENTIONAL CUTTING PRIME ABSORBABLE", $28.00 ,,,
27095123,"HC SUTURE PROLENE 4-0 8634G 18"" BL MONO PC-3 3/8 CISMETIC-CONVENTIONAL CUTTING PRIME NON-ABSORBABLE", $20.00 ,,,
27095134,"HC SUTURE SILK 2-0 C012D 18"" BLK BR SH 1/2 CIRCLE NDL TAPER POINT NON-ABSORBABLE", $51.00 ,,,
27095136,"HC SUTURE SILK 3-0 C013D 18"" BLK BR SH 1/2 CIRCLE NDL TAPER POINT NON-ABSORBABLE", $51.00 ,,,
27095139,"HC SUTURE SILK 4-0 C014D 18"" BLK BR SH 1/2 CIRCLE NDL TAPER POINT NON-ABSORBABLE", $78.00 ,,,
27095150,"HC SUTURE VICRYL 2-0 J839D 18"" UND BR CT-1 1/2 CIRCLE TAPER POINT NDL ABSORBABLE", $40.00 ,,,
27095157,"HC SUTURE VICRYL 3-0 J790D 18"" VIL BR X-1 1/2 CIRCLE REVERSE CUTTING  ABSORBABLE", $52.00 ,,,
27095161,"HC SUTURE VICRYL 4-0 J496G 18"" UND BR PS-2 3/8 CIRCLE PRECISION POINT-REVERSE CUTTING  ABSORBABLE", $24.00 ,,,
27095162,"HC SUTURE VICRYL 5-0 J844G 18"" UND BR CPS-3 3/8 CIRPRECISION POINT-CONVENTIONAL CUTTING  ABSORBABLE", $107.00 ,,,
27095163,"HC SUTURE VICRYL 6-0 J489G 18"" UND BR P-1 3/8 CIRCLE PRECISION POINT-REVERSE CUTTING  ABSORBABLE", $17.00 ,,,
27095168,"HC SUTURE CHROMIC 1 885H 27"" CHR GUT CT-2 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $15.00 ,,,
27095169,"HC SUTURE CHROMIC 1 CCO3G 18"" CHR GUT MO-5 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $133.00 ,,,
27095170,"HC SUTURE ETHILON 4-0 1864G 18"" BLK MONO PC-3 3/8 CSMETIC-CONVENTIONAL CUTTING PRIME NON-ABSORBABLE", $18.00 ,,,
27095171,"HC SUTURE VICRYL 0 JJ31G 27"" VIL BR CT-1 1/2 CIRCLE TAPER POINT NDL ABSORBABLE", $64.00 ,,,
27095172,"HC SUTURE PDS II 2-0 Z317H 27"" VIL MONO SH 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $9.00 ,,,
27095175,"HC SUTURE PROLENE 5-0 8635G 18"" BL MONO PC-3 3/8 CISMETIC-CONVENTIONAL CUTTING PRIME NON-ABSORBABLE", $21.00 ,,,
27095184,"HC SUTURE VICRYL 5-0 J493G 18"" UND BR P-1 3/8 CIRCLE PRECISION POINT-REVERSE CUTTING  ABSORBABLE", $16.00 ,,,
27095185,"HC SUTURE PDS II 1 Z877G 54"" VIL MONO XLH 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $19.00 ,,,
27095188,"HC SUTURE CHROMIC 2-0 883H 27"" CHR GUT CT-2 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $18.00 ,,,
27095189,"HC SUTURE CHROMIC 3-0 636H 27"" CHR GUT FS-2 3/8 CIRCLE NDL REVERSE CUTTING ABSORBABLE", $10.00 ,,,
27095190,HC SUTURE ETHIBOND 0 D8224 (MIN ORDER 12 BX), $116.00 ,,,
27095192,"HC SUTURE ETHILON 5-0 1865G 18"" BLK MONO PC-3 3/8 CSMETIC-CONVENTIONAL CUTTING PRIME NON-ABSORBABLE", $78.00 ,,,
27095195,HC SUTURE LIGACLIP TI LGE LT400, $76.00 ,,,
27095196,HC SUTURE LIGACLIP TI MED LGE LT300, $51.00 ,,,
27095197,"HC SUTURE MAXON 0  36"" GRN MONO SYN HGS-21 TAPER POINT NDL ABSORBABLE USS DG 6339-61/8886633961", $33.00 ,,,
27095200,"HC SUTURE MONOCRYL 4-0 Y845G 18"" UND MONO PC-3 3/8 N COSMETIC-CONVENTIONAL CUTTING PRIME ABSORBABLE", $107.00 ,,,
27095203,"HC SUTURE NUROLON 0 C545D 18"" BLK BR MO-6 1/2 CIRCLE NDL TAPER POINT NON-ABSORBABLE", $72.00 ,,,
27095204,"HC SUTURE PDS II 0 Z346H 36"" VIL MONO CT-1 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $18.00 ,,,
27095206,"HC SUTURE PDS II 5-0 Z320H 30"" VIL MONO RB-1 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $25.00 ,,,
27095207,"HC SUTURE PDS II 0 Z991G 60"" VIL MONO LOOP TP-1 1/2 CIRCLE NDL TAPER POINT ABSORBABLE", $23.00 ,,,
27095217,"HC SUTURE PROLENE 5-0 8710H 30"" BL MONO RB-2 3/8  CIRCLE NDL TAPER POINT NON-ABSORBABLE", $20.00 ,,,
27095219,"HC SUTURE PROLENE 6-0 8805H 24"" BL MONO BV-1 3/8 CIRCLE NDL TAPER POINT NON-ABSORBABLE", $50.00 ,,,
27095242,HC SUTURE VICRYL 3-0 J110T 612 VIL BR COATED VICRYL SUTURE ABSORBABLE, $30.00 ,,,
27095245,"HC SUTURE VICRYL 4-0 J109T 18"" UND BR SUTUPAK PRE-CUT IN 6"" LENGTHS ABSORBABLE", $31.00 ,,,
27095257,"HC SUTURE VICRYL 0 J112T 18"" UND BR COATED VICRYL SUTURE ABSORBABLE", $27.00 ,,,
27095258,"HC SUTURE MONOCRYL 4-0 Y496G 18"" PS-2 3/8 CIRCLE UNRECISION POINT-REVERSE CUTTING  ABSORBABLE Y496G", $107.00 ,,,
27095259,"HC SUTURE VICRYL 7-0 J576G 18""VIL BR TG 160-8 1/2 CIRCLE MICROPOINT- SPATULA ABSORBABLE", $55.00 ,,,
27095260,"HC SUTURE CAPIO POLYESTER 0 833-113 48"" CTD BR DBL M TC TAPERCUT NON-ABSORBABLE 833-113/M0068331131", $194.00 ,,,
27095631,HC SOLUTION IRRIGATION LACTACTED RINGER 3000ML 07828-08/31811728, $29.00 ,,,
27095669,HC SOLUTION IRRIGATION WATER POUR BTL STRL 1000ML 07139-09, $23.00 ,,,
27095910,HC SOLUTION IRRIGATION WATER 3000ML STRL 07973-08, $27.00 ,,,
27097433,HC SOLUTION IRRIGATION 0.9%NACL 3000ML 07972-08, $35.00 ,,,
27099212,"HC DRESSING MELGISORB AG CALCIUM ALGINATE 6"" X 6"" (15CM X 15CM) 255150", $138.00 ,,,
27099244,HC CANISTER 1000ML DISP F/ABTHERA OPEN ACTIVE ABDOMINAL THERAPY WOUND VAC SYSTEM 370620.S/20, $47.00 ,,,
27099245,HC DRESSING WOUND F/ABTHERA OPEN ACTIVE ABDOMINAL THERAPY WOUND VAC SYSTEM 370605.S/5," $1,635.00 ",,,
27099968,HC TRANSPAC 4 NO-SAFESET KIT SNGL MONITORING GOULD 42584-05, $47.00 ,,,
27122378,HC SLING ARM DENIM POUCH W/PAD XLG 8066-25, $9.00 ,,,
27223510,"HC GAUZE ZINC IMPREGNATED  LF NSTRL 4"" X 10YDS (UNNA BOOT) 46-335", $21.00 ,,,
27223519,"HC DRESSING AQUACEL AG HYDROFIBER LF  4"" X 5"" 420677", $35.00 ,,,
27224982,HC DRESSING WOUND ENDOFORM DERMAL TEMPLATE 2 X 2 (5CM X 5CM) EXTRACELLULAR MATRIX STRL 305765, $44.00 ,,,
27240338,HC BIOPSY ONCONTROL SYSTEM TRAY 102MM 9408-CV-006, $646.00 ,,,
27240339,HC BIOPSY ONCONTROL SYSTEM TRAY 152MM 9411-CV-006, $646.00 ,,,
27240346,HC BIOPSY ONCONTROL SYSTEM COMPREHENSIVE TRAY 102MM 9458-CV-006, $730.00 ,,,
27240347,HC BIOPSY ONCONTROL SYSTEM COMPREHENSIVE TRAY 152MM 9451-CV-006, $730.00 ,,,
