Charge Identifier,CDM Description, 2019 Price 
27072204,HC BREAST SIZER VOLUME 750ML SMOOTH RND MODERATE PLUS STRL 351-2750SZ, $175.00 
27072476,HC SHEARS WAVE HS OPEN 18CM WAVE18S, $996.00 
27072620,HC CATHETER MEDITECH GLIDECATH SIM 1 5FR ANGIO IMAGER II 5FR 65CM (REPRO 31-430) PMM# 248141, $21.00 
27072765,HC FEEDING TUBE MIC-KEY LOW PROFILE JEJUNAL 0230-18-2.5, $805.00 
27072798,HC BOOT CASTING TCC-EZ LGE TCC2-1114, $336.00 
27072799,HC BOOT CASTING TCC-EZ LRG CHARCOT TCC21116, $385.00 
27072801,HC BOOT CASTING TCC-EZ LGE CHARCOT REG TCC21100, $281.00 
27072802,HC BOOT CASTING TCC-EZ XLG TCC2-1124, $353.00 
27072803,"HC CAST SYSTEM TCC-EZ 3"" TOTAL CONTACT KIT  TCC2-3001", $448.00 
27072804,"HC CAST SYSTEM TCC-EZ 4"" TOTAL CONTACT KT TCC24051", $519.00 
27072805,HC SHOE POST OP CANVAS/VELCRO MALE XLG A152308, $16.00 
27072902,HC PROBE SIDE BY SIDE BIPOLAR 302429-000," $2,495.00 "
27073121,HC ELECTRODE AD-TECH EPIDURAL SPINAL 202830-000, $797.00 
27073274,HC URINEMETER ADD-A-FOLEY CATH TRAY INFECTION CONTROL  W/STATLOCK 304100A, $59.00 
27073309,HC ANTENNA MICROWAVE EMPRINT EBLATION SYSTEM CA20L1," $14,544.00 "
27073345,HC APPLICATOR TRAY SAVI 8-1 SAVI-08," $9,007.00 "
27073800,"HC NEEDLE SPINAL 22GA X 6"" CHIBA STRL LF  183A73", $35.00 
27074666,HC CATHETER SPHENO-CATH FLUORO DT1005GP-1, $342.00 
27075011,"HC NEEDLE SPINAL 20GA X 6"" QUINKE LONG LGTH  405211", $15.00 
27076030,HC TUBE FEEDING JEJUNOSTOMY MIC 16FR 28ML BALLOON 0200-16, $615.00 
27076599,HC FIXATION DEVICE ABSORBATACK 5MM W/30 TACKS ABSTACK30X," $1,848.00 "
27076600,HC BASKET DAKOTA 8MM X 120CM 390-500, $917.00 
27076604,HC NEUROSTIMULATOR SCREENER WIRELESS EXTERNAL DISP 97725," $2,839.00 "
27076605,HC BOOT ENS GLOBAL 375003, $145.00 
27076606,HC DRILL BIT GUIDE HIGH SPEED AO SCREWS 3.5MM 703978," $1,600.00 "
27076608,HC HEMOSTAT SURGICEL SNOW ABSORB 4 X 4 2083, $500.00 
27076609,HC SEALER DIVIDER LIGASURE BLUNT TIP LF1837," $2,248.00 "
27076610,HC TEMPLATE STD R 108 PLATE 18 HOLES 710319, $302.00 
27076613,HC ELECTRODE DIS RF RFDE-15," $2,183.00 "
27076618,HC CANNULA NEUROTHERM RF 15CM SL-C1510-18, $297.00 
27076635,HC SUTURE PDS II 6-0 BV-1 BV-1 Z117H, $54.00 
27076636,HC FIXATION KIT SECONDARY ACL/PCL REPAIR AR-1593," $2,620.00 "
27076637,HC BREAST SIZER EXTRA FULL PROFILE 445ML SILICONE MSZ-X445," $1,092.00 "
27076639,HC CANNULA GUNDRY RETROGRADE 13F 94113T," $3,278.00 "
27076640,HC OBTURATOR DAVINCI XI 8 MM BLADELESS (OPTICAL) LONG 470360, $131.00 
27076647,HC DRILL BIT CANN 2.4MM 1100-084-86, $833.00 
27076649,HC HANDPIECE SCOUT SURGICAL GUIDANCE SNGL USE," $1,201.00 "
27076651,HC PIN SET UNIVERSAL II ECLIPSE AR-9207S," $1,151.00 "
27076654,HC SUTURE CLOSURE SYSTEM 1 5MM 1 10/12MM DISP SNGL USE CTI-512N, $564.00 
27076656,HC DRILL BIT 12H PLATE 430212, $351.00 
27076660,HC DRILL BIT 5.5MM AR-8970-55, $345.00 
27076662,HC CATHETER THORACIC 24FR SILICONE ST STRL 8888572545, $40.00 
27076664,HC TIP EVICEL KIT FIBRIN HUMAN 5ML 3905TIP," $2,113.00 "
27076665,HC TIP EVICEL KIT FIBRIN HUMAN 2ML 3902TIP, $918.00 
27076672,HC CARTILAGE BIOPSY TRANSPORT KIT 80006," $2,384.00 "
27076683,"HC SUTURE VICRYL 4-0 VR494 CTD 18"" P-3 3/8 REV CUTTING ABSORBABLE", $20.00 
27076687,HC BALLOON AVA MAX 11G -20MM 1021-120-000," $5,240.00 "
27076688,HC BALLOON KIT 11G - 20MM AVA FLEX 1031-120-000," $10,546.00 "
27076689,HC NEEDLE TRUESPAN PEEK 12DEG 228151," $2,646.00 "
27076691,HC SYLET 11G IVAS BEVEL 0306-331-000, $310.00 
27076697,HC BREAST SIZER FULL PROFILE PROTECTION 325ML MSZ-F325," $1,092.00 "
27076698,HC BREAST SIZER FULL PROFILE PROTECTION 330ML MSZ-M330," $1,092.00 "
27076702,HC Accudrain System CSF W/Anti-Reflux Valve INS8401," $1,332.00 "
27076703,HC CANNULA 2PC SLOTTED 190MM 2.11 DIA 2SC-190X," $4,415.00 "
27076705,HC PUMP HEAD REVOLUTION 050300700, $436.00 
27076706,HC BLADE LARYNGOSCOPE MACINTOSH SZ-2 FIBEROPTIC BRITEBLADE PRO DISP 329-040-712U, $25.00 
27076707,HC BLADE LARYNGOSCOPE MILLER SZ-00 FIBEROPTIC BRITEBLADE PRO DISP 329-040-720NU, $25.00 
27076708,HC BLADE LARYNGOSCOPE MILLER SZ-0 FIBEROPTIC BRITEBLADE PRO DISP 329-040-720U, $25.00 
27076709,HC BLADE LARYNGOSCOPE MILLER SZ-1 FIBEROPTIC BRITEBLADE PRO DISP 329-040-721U, $25.00 
27077311,HC KIT ELECTRODE MRI CUSTOM 29 ELECTRODES MRQD40607060610, $565.00 
27077312,HC ELECTRODE QUICK CONNECT MR-CT KIT 1.0/3 ARRAYS MRQD32610, $628.00 
27077313,HC KIT ELETRODE MRI CUSTOM 22 ELECTRODES MRQD2090910, $435.00 
27077670,HC KIT TUNNELING TOOL 35CM  ACCK3035, $590.00 
27077674,HC SENSOR EQUANOX ADVANCED SHORT 10433-001, $369.00 
27077676,HC CONNECTOR 22MM MEGADYNE ULTRA VAC SMOKE, $94.00 
27077678,HC PROCEDURE KIT PATIENT F/STERNAL TALON SURGERY 99-009-01-04, $542.00 
27077680,HC EXTENDER LEAD BULLDOG LR-LED01 G46542," $1,113.00 "
27077681,HC BLADE M4 INFERIOR TURBINATE HR 2.9MM 1882940HR, $977.00 
27077682,HC PENCIL ZIP PEN SMOKE EVACUATION W/ 22MM CONNECTOR DISP 25251, $88.00 
27077684,HC TUBE SET SAFETY T-TUBE EX LONG 14MM 620014, $858.00 
27077685,HC TUBE SET SAFETY T-TUBE EX LONG 11MM 620011, $858.00 
27077686,HC TUBE SET SAFETY T-TUBE EX LONG 10MM 620010, $858.00 
27077687,HC TUBE SET SAFETY T-TUBE EX LONG 12MM 620012, $858.00 
27077688,HC DRILL BIT CANN AT2M-1813," $1,377.00 "
27077689,HC HEMOBLAST BELLOWS LF DISP BFQ02-US," $1,046.00 "
27077690,HC BATTERY HOLSTER (2 PIECES) 104234," $1,653.00 "
27077691,HC BRUSH CYTOLOGY SNGL USE 3.0 X 150MM 1615/M00516151, $66.00 
27077696,HC ESUCTION ESOPHAGEL FITS SCOPES O.D. 8.6MM-10MM ET2000, $523.00 
27077699,HC STAPLER SUREFORM 60 480460," $2,218.00 "
27077707,HC LENS SET SUPER VIEW PIVOT DIS 20 EA BX 40223, $403.00 
27077708,HC LENS SUPER VIEW HTC DISP 10 PER BX, $222.00 
27077709,HC SECURESTRAP OPEN ABSORBABLE STRAP FIXATION DEVICE  OPSTRAP20," $2,792.00 "
27077710,HC SUTURE PAS XTRA AAL 1/4 63 SHORE 04273, $9.00 
27077711,HC NEEDLE BONE MARROW ASPIRATION J STYLE 11GA X 11CM MULTI PROT W/SIDE HOLES STRL DISP 710.111.97S, $770.00 
27077714,HC BREAST SIZER MEMORY GEL MODERATE PLUS PROFILE XTRA 685CC, $962.00 
27077721,HC TAP OASYS CANC DISP 3.5MM 48561314," $1,469.00 "
27077722,HC U-JOINT LP FOR SINFIX MINI OPEN 03.802.230," $13,415.00 "
27077729,HC BREAST SIZER GEL INSPIRA SMOOTH LOW PROFILE 610ML MSZ-L320," $1,092.00 "
27077732,HC DRILL BIT 2.5MM CANN AR-8737-09, $797.00 
27077736,HC FIBER LASER DOIDE BIOLITEC 400UM SNGL USE 8013069," $1,024.00 "
27077738,HC KNIFE BAYONETTED ANNULOTOMY KNIFE," $3,646.00 "
27077740,HC PROCEDURE KIT NEUROMONITOR BASIC MICROSENSOR 82-6631," $3,602.00 "
27077741,HC BREAST SIZER FULL PROFILE PROTECTIO 770ML MSZ-F700," $1,092.00 "
27077742,"HC IV CATH 18GA 1.88"" ANGIOCATH YELLOW 381147", $17.00 
27077745,HC BURR ROUND CONVEX HL 8 FLUTE 5.0MM AR-6500XBE, $459.00 
27077746,HC DRILL BIT 8.5MM CANN AR-1218-85, $888.00 
27077747,HC SHEARS HARMONIC HD 1000I 36CM SHAFT HARHD36," $2,815.00 "
27077748,HC OSTEOPRECISION BONE GRAFT DELIVERY DEVICE GD-1115-100, $682.00 
27077752,HC GUIDE SHEATH KIT 2.0MM K-201, $591.00 
27077753,HC DEVICE RELIATACK ARTICULATING RELOADABLE FIXATION RELTACK4XDPT," $3,879.00 "
27077754,HC DRILL BIT 2.0MM DRILL TWIST DRILL-2.00/080, $546.00 
27077755,HC RESERVOIR TOP OULET 04258, $159.00 
27077756,HC SUCTION 20FT W/TWIST LOCK  007005020, $61.00 
27077757,HC VACUUM EXTENSION LINE 04028, $16.00 
27077758,HC CANNULA TRIPLE DAM 8.25MM X 7CM AR-6530TD, $126.00 
27077759,HC BREAST SIZER GEL INSPIRA SMOOTH ROUND FULL PROFILE 750ML MSZ-X750," $1,092.00 "
27077761,HC CATHETER DUPLO APPLICATION 180CM 921021, $203.00 
27077762,HC SEALANT SURGICAL COSEAL 934071," $2,577.00 "
27077769,HC DRILL BIT 4.3MM X 216MM 705043, $851.00 
27077770,HC L-CLIP TEMPORARY ST 12MM MAX OP 10.2MM CF 90 G 45.260," $1,934.00 "
27077771,HC DRILL BIT 3.2 150MM CANN DRILL-3.2/150C, $677.00 
27077772,HC BREAST SIZER EXTRA FULL PROFILE 470ML SILICONE MSZ-X470," $1,092.00 "
27077773,HC LAPAROSCOPIC SYSTEM FIXATION DEVICE 15  OPTIFIX  (REFRIGERATED ITEM)," $1,354.00 "
27077774,HC STYLET KIT 70CM ACCK8012-70, $616.00 
27077775,HC TORGUE WRENCH KIT ACCK6006, $590.00 
27077777,HC FUNNEL KELLER 2 HA-005, $454.00 
27077780,HC ADAPTOR FUJINON DISP 100141, $15.00 
27077781,HC SUTURE VICRYL UNDYED 3 COATED 1 X 27 CCS-1, $21.00 
27077782,HC PUMP ON-Q PAIN BUSTER 400ML X 4ML/HR P400X4D, $699.00 
27077783,HC SUTURE PASSING KIT DISP UCL AR-7715-4.5," $3,034.00 "
27077784,HC CAP ENDO SMART F/FUJINON SCOPES SMARTCAP ENDO EXT C02 100165CO2EXT, $66.00 
27077797,HC FECAL MANAGEMENT DIGNISHIELD SYSTEM 4CM LF SMS002, $524.00 
27077800,HC DRILL BIT 4.3MM 703743, $897.00 
27077801,HC SHEAR HARMONIC LAP 5MM 23CM HAR23," $1,602.00 "
27077808,HC DRILL BIT 5.0MM STR CANN AR-8770-02, $765.00 
27077809,HC DRILL BIT 3.2MM STR CANN AR-8750-04, $765.00 
27077811,HC BONE MARROW PROCESSING KITANGEL ABS-10062T," $4,279.00 "
27077812,HC DRILL BIT QUICK COUPLING 1.1MM 55MM 310.111, $327.00 
27077813,HC DRESSING VAC VERAFLOW CLENSE WHITE MED ULTVCC05MD.S, $602.00 
27077814,HC PRESSURE MONITOR SET QUICK STICK DISP 295-2, $455.00 
27077821,HC FLIP CUTTER II SHORT 9.0MM AR-1204AS-90," $1,419.00 "
27077825,"HC PLEDGET PTFE FELT 2.5CM X 2.5CM X 1.65MM (1"" X 1"") 007973", $71.00 
27077837,HC DRILL BIT 2.7MM AR-8827D-01, $371.00 
27077839,HC ANTENNA EVIDENT 17CM 3.7 ACTIVE TIP PROBE VT1737," $9,734.00 "
27078977,HC APPLICATOR TRAY SAVI 6-1 SAVI-06," $9,345.00 "
27078979,HC APPLICATOR TRAY SAVI 6-1 MINI SAVI-06MINI," $9,345.00 "
27080012,HC TUNNEL TOOL ACCESSORY," $3,088.00 "
27080015,"HC NEEDLE PORT-A-CATH GRIPPER PLUS 20GA X 3/4"" SAFETY W/Y-SITE 21-2865-24", $69.00 
27080018,"HC CATHETER CLOSED TRACHEAL SUCTION 6FR NEONATE/PED LIGHT BLUE WYE CONNECTOR 12"" LF 196", $110.00 
27080019,"HC CATHETER CLOSED TRACHEAL SUCTION 8FR NEONATE/PED PINK WYE CONNECTOR 12"" LF 198/108-198", $110.00 
27080065,HC CABLE ABLATION REBEL 10 PIN, $520.00 
27080070,HC TUBING THERMOCOOL PUMP, $646.00 
27080116,"HC HARNESS STERNUM SUPPORT LGE 45-72"" (ORDER IN 10'S) HEART HUGGER 1500 GT-1500", $499.00 
27080132,HC TUBE FEEDING JEJUNAL TRANSGASTRIC 18FR 45CM W/7-10ML BALLOON 0250-18," $1,351.00 "
27080197,HC PATCH CARTO 3 EXTERNAL REF BW," $2,384.00 "
27080198,HC CABLE EP/RFA CONNECTORS BW," $1,703.00 "
27080206,"HC TUBE FEEDING WEIGHTED 5 FR. 22"" LONG 20-9225", $131.00 
27080217,HC CABLE CRYO ELECTRICAL 2035UC," $1,213.00 "
27080218,HC CABLE CRYO COAXIAL 203CXC, $970.00 
27080220,HC CRYO DEVICE 7F CARD FREEZOR," $8,944.00 "
27080264,HC CABLE EP ACHIEVE MAPPING, $825.00 
27080289,HC TUBE GASTROSTOMY FEEDING 18FR 10ML 0100-18, $241.00 
27080298,HC BONE BIOPSY KIT 13GA 306-135-000, $272.00 
27080311,HC LARIAT SUTURE PULLER TENSURE," $1,045.00 "
27080312,HC LARIAT SOFTIP CANNULA," $1,566.00 "
27080313,HC LARIAT SURECUT SUTURE CUTTER," $2,089.00 "
27080315,HC LARIAT SUTURE DELIVERY DEVICE," $25,837.00 "
27080322,HC CATHETER FOLEY 2-WAY 18FR 5ML SILVER COATED LF STRL 1758SI18, $72.00 
27080360,HC LEG BAG URINARY DRAINAGE LGE LF STRL 8887601139, $9.00 
27080405,HC FILTER BLOOD PALL HIGH BLOOD FLOW W/O TUBING SQ40S, $52.00 
27080450,HC CATHETER TRAY ADVANCED URINEMETER BARDEX FOLEY 14FR 902914, $202.00 
27080505,HC CATHETER THORACIC 24FR ST TAPER TIP PVC STRL 8024, $251.00 
27080680,HC DRESSING CENTRAL LINE CHANGE TRAY W/TEGADERM 262834, $338.00 
27081004,"HC NEEDLE PORT-A-CATH GRIPPER PLUS 19GA X 3/4"" SAFETY W/Y-SITE 21-2868-24", $69.00 
27081012,HC PROBE CURETTE HATCHET TITANIUM SONICONE F/DEBRIDEMENT DISP MXC-C1," $2,063.00 "
27081041,"HC DEVICE INFLATION BASIX COMPAK (ORDER IN 5'S) ANAOG 30 ATM W/13"" EXT TUBING & ANG GAUGE LF IN4130", $198.00 
27081065,HC BELT RIB MALE UNIV LF 13740300, $25.00 
27081145,HC SLING ARM DENIM POUCH W/PAD MED 8066-23, $9.00 
27081466,HC VENT CIRCUIT DUAL HEATED 270560, $129.00 
27081469,HC VENT CIRCUIT ADULT EQAQUA 2 W/ FILTER AND CHAMBER RT380 298373, $208.00 
27081483,HC SKIN BARRIER RING 22 X 38MM OVAL 79601, $9.00 
27081496,HC SHAVER 4.0MM CURVED EXCALIBUR AR-8400CEX, $197.00 
27081502,HC BURR OVAL 12 FLUTE 5.5MM X 13CM DISP AR-8550OBT, $197.00 
27081503,HC BALLOON FUSION FRONTAL 70 DEG 6 X 17MM 1830617FRT70," $4,253.00 "
27081504,HC CATHETER THORACIC 28FR SILICONE ST STRL 8888572552, $39.00 
27081509,HC PROTECTOR ALEXIS ORTHOPAEDIC MED/LG 5-13CM HR005, $633.00 
27081511,HC DRILL BIT 1.7MM AR-8916-14, $345.00 
27081513,HC DRILL BIT TWIST 1.6MM DRILL-1.60, $524.00 
27081514,HC CURETTE 11G 0306-621-000," $2,367.00 "
27081517,HC LAPROCLIP 12MM DISP CLIP 8886848812, $563.00 
27081518,HC NEEDLE NERVE STIMULATOR STIMUPLEX ULTRA 360 20GA X 4 333648, $53.00 
27081519,HC INCISION MGMT SYSTEM PREVENA PLUS 45ML CANISTER DISP PRE4001US.S," $2,839.00 "
27081521,HC HEMOSTAT SURGICEL SNOW ABSORB 2 X 4IN 2082, $445.00 
27081526,HC CLIP APPLIER RANEY  57-8505, $609.00 
27081675,HC DEVICE ENDO TRACH TUBE ATTACHMENT ETAD 9789, $30.00 
27081677,"HC KNIFE CLEARCUT SIDEPORT 6"" 1.2MM 8065921541", $56.00 
27081679,HC BREAST SIZER MOD HEIGHT PROTECTION 275ML MSZ-M275," $1,092.00 "
27081682,HC TORPEDO CVD 4MM AR-8400CTD, $441.00 
27081696,HC RESERVOIR XTRA TANDEM Y 04058, $61.00 
27081697,HC BAG BLOOD 04268, $35.00 
27081698,HC BAG WASTE 04269, $35.00 
27081702,HC TORPEDO 4MM X 13CM AR-8400TD, $441.00 
27081707,HC CHUCK HOFFMAN 3 UNIVERSAL 4/5 X 6MM 4922-9-050," $2,231.00 "
27081708,HC STAYS SOLID BLADE LONG F/LONE STAR RETRACTOR SYSTEM 3334-4G, $52.00 
27081714,HC PACK BATTERY VARISPEED 6250201," $1,310.00 "
27081718,HC CATHETER COUNCIL LTX 16FR 5ML 0196L16, $49.00 
27081723,HC RESERVOIR XRES B GROSS 04275, $183.00 
27081728,HC DRILL BIT 3.5MM 2883-10-035," $1,315.00 "
27081731,HC DRILL CORNER 4.8MM 33600048," $1,323.00 "
27081734,HC DRILL STEM TALAR 14MM 200432014," $1,092.00 "
27081737,HC DRILL TALAR 4MM 33600048, $463.00 
27081739,HC FIXATION DEVICE RELIATACK ARTICULATING RELOADABLE RELTACK3X1," $2,594.00 "
27081742,HC DRILL SLEEVE LOCKING 4.3MM 705076," $2,251.00 "
27081744,HC BURR OVAL 8 FLUTE 5.0MM X 13CM  AR-8500OBE, $257.00 
27081746,HC CATHETER ACCUCATH IV SYSTEM 20GA 2.25IN BASIC KIT AC0202250, $183.00 
27081747,HC ADAPTER IV LIFE SHIELD COLLAR W/REMOV CLAVE PORTS LF 12419-01, $14.00 
27081758,HC DRILL BIT CANN 1.7MM LONG QUICK RELEASE 316-0014," $1,273.00 "
27081761,HC BONE REMOVER SCREW INBONE IB200051, $869.00 
27081763,HC TRAP BUBBLE ADULT FILTER CLOT 1CX-BT15, $153.00 
27081764,HC DRILL BIT 2.4MM X 140MM P99-100-2414, $786.00 
27081767,HC CUTTER BONE 5MM X 13CM AR-8500BC, $188.00 
27082034,HC BTE  ELITE HEARING AID DIGIT MON BTE LEFT," $3,100.00 "
27082035,HC BTE  ELITE HEARING AID DIGIT MON BTE RIGHT," $3,100.00 "
27082037,HC BTE  PREMIUIM HEARING AID DIGIT MON BTE LEFT," $2,700.00 "
27082038,HC BTE  PREMIUIM HEARING AID DIGIT MON BTE RIGHT," $2,700.00 "
27082040,HC BTE  ADVANCED HEARING AID DIGIT MON BTE LEFT," $2,250.00 "
27082041,HC BTE  ADVANCED HEARING AID DIGIT MON BTE RIGHT," $2,250.00 "
27082062,HC BTE  MID LEVEL HEARING AID DIGIT MON BTE LEFT," $1,950.00 "
27082063,HC BTE  MID LEVEL HEARING AID DIGIT MON BTE RIGHT," $1,950.00 "
27082107,HC VALVE CO PILOT BLEED BACK CONTROL 1003331, $233.00 
27082226,HC BTE  ENTRY LEVEL HEARING AID DIGIT MON BTE LEFT," $1,400.00 "
27082227,HC BTE  ENTRY LEVEL HEARING AID DIGIT MON BTE RIGHT," $1,400.00 "
27082535,HC BREAST SIZER GEL MEMORY SHAPE MED HEIGHT MOD+ PROFILE 640ML RSZ-1608S," $1,223.00 "
27082539,HC DRILL BIT JACOB 1.2MM JDRILL-1.2/085, $502.00 
27082540,"HC TUBE FEEDING SML BOWEL 10FR 55"" CORPAK2 SYSTEM  20-9551TRAK2", $304.00 
27082541,HC SUTURE CP-2 26MM 1/2C REVERSE CUTTING D6090, $340.00 
27082542,HC SLEEVE GASTRECTOMY CALIBRATION SYSTEM W/BULB 5236B, $808.00 
27082543,HC Lariat Suture Delivery Device 30-06," $40,402.00 "
27082544,HC Lariat Suture Delivery Device 30-05," $30,350.00 "
27082545,HC Lariat Suture Puller Tensure 80-02," $1,105.00 "
27082546,HC REAMER SHAFT FITTING 8MM X 450MM 0226-3000S," $1,340.00 "
27082547,HC BURR RAD55 CVD 3.6MM 13CM 30K 1883655BRC," $1,583.00 "
27082548,HC GOUGE HRIS 1/2 ROUND 6MM X 250MM 6210-2-100," $1,638.00 "
27082549,HC DRILL TWIST CANN LONG 2.1MM DRILL-1.6CL, $677.00 
27082550,HC DISSECTOR 3.5MM SHAVER AR-8350DS, $197.00 
27082551,"HC SUTURE V-LOC 180 0 24"" CLOSURE DEV ABSORB GS-25 NDL VLOCL0436", $173.00 
27082552,HC BLADE LARYNGOSCOPE MILLER SZ-3 MED ADULT DISP F/FO 004550003, $16.00 
27082553,HC DISSECTOR 3.0 X 7CM DISP AR-9300DS, $197.00 
27082558,"HC TUBE FEEDING SML BOWEL 10FR 43"" CORPAK2 SYSTEM 20-9431TRAK2", $305.00 
27082559,HC CUFF TOURNIQUET DISP 18 X 5.5  DUAL PORT DUAL BLADDER QUICK 5920-018-245, $127.00 
27082560,"HC SUTURE MERSILENE 5-0 1761G 18"" 1/2 NON-ABSORBABLE GRN BRAIDED 1761G", $48.00 
27082564,HC SABRE 2.0MM X 7CM AR-9200SR, $197.00 
27082565,HC BURR OVAL FLUSH CUT 8 FLUTE 5.5MM X 13CM AR-8550FOE, $197.00 
27082568,HC SYRINGE SPHERE INFLATION DEVICE G34903, $175.00 
27082569,HC SHAVER 4.0MM EXCALIBUR AR-8400EX, $257.00 
27082570,HC BTE  ELITE HEARING AID DIGIT MON BTE LEFT (BILAT MEDICAID KIDS)," $3,100.00 "
27082571,HC BTE  ELITE HEARING AID DIGIT MON BTE RIGHT (BILAT MEDICAID KIDS)," $3,100.00 "
27082572,HC BTE  PREMIUIM HEARING AID DIGIT MON BTE LEFT (BILAT MEDICAID KIDS)," $2,700.00 "
27082573,HC BTE  PREMIUIM HEARING AID DIGIT MON BTE RIGHT (BILAT MEDICAID KIDS)," $2,700.00 "
27082574,HC BTE  ADVANCED HEARING AID DIGIT MON BTE LEFT (BILAT MEDICAID KIDS)," $2,250.00 "
27082575,HC BTE  ADVANCED HEARING AID DIGIT MON BTE RIGHT (BILAT MEDICAID KIDS)," $2,250.00 "
27082576,HC BTE  MID LEVEL HEARING AID DIGIT MON BTE LEFT (BILAT MEDICAID KIDS)," $1,950.00 "
27082577,HC BTE  MID LEVEL HEARING AID DIGIT MON BTE RIGHT (BILAT MEDICAID KIDS)," $1,950.00 "
27082578,HC BTE  ENTRY LEVEL HEARING AID DIGIT MON BTE LEFT (BILAT MEDICAID KIDS)," $1,400.00 "
27082579,HC BTE  ENTRY LEVEL HEARING AID DIGIT MON BTE RIGHT (BILAT MEDICAID KIDS)," $1,400.00 "
27083082,HC ELECTRODE SPENCER PROBE DEPTH 10MM 4 CONTACT SD04R-SP010X-000," $1,030.00 "
27083084,HC ELECTRODE SPENCER PROBE DEPTH SD06R-SP 10X-000," $1,263.00 "
27083261,HC PACK MHI DAVIS VALVE MHCV24A1, $339.00 
27083355,HC ITE  ELITE HEARING AID DIGIT MON ITE LEFT," $3,100.00 "
27083356,HC ITE  ELITE HEARING AID DIGIT MON ITE RIGHT," $3,100.00 "
27083358,HC ITE  PREMIUIM HEARING AID DIGIT MON ITE LEFT," $2,700.00 "
27083359,HC ITE  PREMIUIM HEARING AID DIGIT MON ITE RIGHT," $2,700.00 "
27083363,HC ITE  ADVANCED HEARING AID DIGIT MON ITE LEFT," $2,250.00 "
27083364,HC ITE  ADVANCED HEARING AID DIGIT MON ITE RIGHT," $2,250.00 "
27083381,HC ITE  MID LEVEL HEARING AID DIGIT MON ITE LEFT," $1,950.00 "
27083382,HC ITE  MID LEVEL HEARING AID DIGIT MON ITE RIGHT," $1,950.00 "
27083407,HC CABLE TRIAL MULTI-LEAD 3013, $873.00 
27083436,HC TUBE FEEDING JEJUNOSTOMY MIC 18FR 7-10ML BALLOON 0200-18, $590.00 
27083441,HC TUBE GASTROSTOMY FEEDING 22FR 22ML 0100-22, $241.00 
27083442,HC TUBE FEEDING JEJUNOSTOMY MIC 20FR 7-10ML BALLOON 0200-20, $799.00 
27083444,HC TUBE GASTROSTOMY MOSS 18FR (ORDER IN 2'S) 5-17719," $1,134.00 "
27083445,HC CATHETER CROSSOVER 5F VISCERAL TEMPO AQUA 5FR CR10'S) MIN ORDER 20 (CUSTOM MADE PRODUCT) SRD6534, $146.00 
27083772,HC CUTTER SHAVER 3.8MM END AR-8380EC, $188.00 
27083773,HC TIP GRASPER FENESTRATED STD 22MM DISP 3222, $236.00 
27083782,HC ELECTRODE LOOP SS BALL DISP 5MM E1564, $50.00 
27083784,"HC PACKING STRIP IODO 1"" X 5YD NON256015", $8.00 
27083785,HC TUBING PACK QUADROX BEQ-TOP 22600 ECC 701049440R01," $8,368.00 "
27083786,"HC CANNULA BIOMEDICUS FEMORAL 1 PC 17"" LF STRL W/3/8"" CONNECTOR 15 F 96570-015", $914.00 
27083787,"HC CANNULA BIOMEDICUS FEMORAL 1 PC 17""LF STRL W/3/8"" CONNECTOR 17 F 96570-017", $914.00 
27083790,HC DRILL BIT 2.2MM X 12MM 03.501.042," $1,017.00 "
27083792,HC DRILL BIT DISP 12MM 48510612, $797.00 
27083793,HC CATHETER TRAY MAHURKAR TLC CE 12FR X 20CM ST DIALYSIS & CV PRESURE MONIT 8888103003HP, $667.00 
27083794,HC BREAST SIZER MEMORY GEL HIGH PROFILE XTRA 560CC, $962.00 
27083795,HC BREAST SIZER MEMORY GEL HIGH PROFILE XTRA 490CC, $962.00 
27083796,HC BREAST SIZER MEMORY GEL MODERATE PLUS PROFILE XTRA 405CC, $962.00 
27083797,HC BATTERY PACK STL FOR BATTERY POWERED DRIVER 05.000.007.01S," $1,226.00 "
27083799,HC DRILL TWIST 2.35MM X 40MM A-3831," $1,630.00 "
27083800,HC DRILL BIT CANN 3.2MM STR AR-8750-09, $732.00 
27083801,HC CATH GOLD PROBE ELECTROHEMOSTASIS 7F 2.33MM 300CM, $519.00 
27083804,HC BREAST SIZER FULL PROFILE PROTECTION 335ML MSZ-F335," $1,046.00 "
27083805,HC BREAST SIZER FULL PROFILE PROTECTION 345ML MSZ-M345," $1,046.00 "
27083807,"HC PACKING STRIPS IODOFORM 1"" 59346", $12.00 
27083808,"HC PACKING STRIPS IODOFORM 1/2"" 59245", $12.00 
27083809,"HC PACKING STRIPS PLAIN 2"" 59421", $12.00 
27083810,"HC PACKING STRIPS PLAIN 1"" 59321", $10.00 
27083811,HC DRILL BIT CANN ASMIS MICRO NSTRL 1.7MM X 2.0MM 45-20005, $775.00 
27083817,HC ITE  ENTRY LEVEL HEARING AID DIGIT MON ITE LEFT," $1,400.00 "
27083818,HC ITE  ENTRY LEVEL HEARING AID DIGIT MON ITE RIGHT," $1,400.00 "
27083937,HC SHARPVAC CURETTE STYLE DEBRIDMENT PROBE W/ASPIRATION," $2,008.00 "
27083938,HC BREAST SIZER GEL ROUND LOW PLUS 205ML MSZ-LP205," $1,046.00 "
27083939,HC DRILL BIT 2.5MM AR-8916-06, $285.00 
