Description,Charge
Mesalamine 250mg CR C(Pentasa),$22.80
Mesalamine 400mg ER C(Delzicol),$25.00
Mesalamine 60mL Enema(Rowasa),$172.90
Mesalamine 800mg EC Tab,$54.95
Mesh,"$2,821.00"
Mesh,"$3,547.36"
Mesh,"$2,744.00"
Mesh,$738.00
Mesh,"$2,236.00"
Mesh,"$4,982.15"
Mesh,"$3,105.08"
Mesh,$877.50
Mesh,"$1,278.00"
Mesh,"$1,440.00"
Mesh,"$1,940.00"
Mesh,"$2,482.40"
Mesh,"$3,424.05"
Mesh,"$2,042.40"
Mesh,"$4,126.85"
Mesh,"$2,383.28"
Mesh,"$9,600.00"
Mesh,"$3,973.20"
Mesh,"$1,654.63"
Mesh,"$1,621.96"
Mesh,"$3,140.00"
Mesh,"$4,515.00"
Mesh,"$3,622.50"
Mesh,"$2,840.00"
Mesh,"$5,092.22"
Mesh,"$3,319.33"
Mesh,"$10,425.00"
Mesh,"$14,250.00"
Mesh,"$21,187.50"
Mesh,"$29,362.50"
Mesh,$675.00
Mesh,"$1,216.00"
Mesh,"$5,289.27"
Mesh,"$2,650.64"
Mesh,"$3,608.40"
Mesh,"$2,051.92"
Mesh,"$2,604.00"
Mesh,"$17,162.50"
Mesh,"$1,860.00"
Mesh,"$2,201.20"
Mesh,"$2,242.40"
Mesh,"$2,283.60"
Mesh,"$2,324.80"
Mesh,"$9,900.00"
Mesh,"$5,462.80"
Mesh,"$1,666.64"
Mesh,$661.50
Mesh,"$2,036.12"
Mesh,"$1,643.76"
Mesh,"$2,580.00"
Mesh,"$8,280.00"
Mesh,"$6,331.50"
Mesh,"$9,167.61"
Mesh,$742.50
Mesh,"$8,250.00"
Mesh,"$9,939.93"
Mesh,"$8,991.00"
Mesh,"$3,552.50"
Mesh,"$4,287.50"
Mesh,$778.73
Mesh,"$1,273.76"
Mesh,"$1,756.00"
Mesh,"$2,192.00"
Mesh,"$9,909.00"
Mesh,"$3,710.00"
Mesh,"$3,671.50"
Mesh .5Cm For 10X15Cm,$52.50
Mesh .5Cm For 13X25Cm,$44.31
Mesh .5Cm For 16X20Cm,$44.47
Mesh .5Cm For 20X20Cm,$6.23
Mesh .5Cm For 20X30Cm,$39.47
Mesh 1Cm For 30X30Cm,$66.59
Mesna 200mg/2mL Inj,$135.25
Metanephrines Plasma,$106.00
Metanephrinse Fractioned Urine,$113.00
Metaxalone 800mg T(Skelaxin),$42.40
metFORMIN 500mg ER T,$10.00
metFORMIN 500mg T(Glucophage),$10.00
metFORMIN 750 mg ER T,$10.00
metFORMIN 850mg T(Glucophage),$10.00
Methacholine 100 mg Inh Pd,$344.00
Methacoline Challenge,"$1,078.00"
Methadone 100mg/10mL Oral Conc,$67.60
Methadone 10mg T,$25.00
Methadone 10mg/mL 20mL inj,$186.70
Methadone 10mg/mL Oral Conc,$25.00
Methadone 50mg/5mL Oral Conc,$133.00
Methadone 5mg T,$25.00
Methanol,$131.00
methazolAMIDE 50mg T(Neptazane),$54.25
Methemoglobin,$98.00
Methemoglobin Assay Poc,$98.00
Methenamine Hippurate 1 g T,$14.80
methIMAzole 10mg T(Tapazole),$10.00
methIMAzole 5mg T(Tapazole),$10.00
Methlenedioxyamphetamine Quant,$62.00
Methocarbamol 500mg T(Robaxin),$10.00
Methocarbamol 750mg T(Robaxin),$10.00
Methohexital Inj(Brevital),$510.95
Methotrexate 1g/40mL I PF,$312.25
Methotrexate 2.5mg T,$25.25
Methotrexate 250mg/10mL I PF,$110.40
Methotrexate 50mg/2mL I PF,$75.00
Methotrexate Level,$118.00
Methyl Salic - Menthol TC(Bengay),$0.00
Methyldopa 250mg T(Aldomet),$10.00
Methyldopate 250mg I,$330.85
Methylene Blue 0.5% 10mL I,$943.40
Methylene Blue 1% 10mL I,$716.15
Methylenedioxyamphetamine,$43.00
Methylergonovine 0.2mg T(Methergine),$448.50
Methylergonovine 0.2mg/mL 1mL I,$162.80
Methylmalonic Acid,$130.00
Methylnaltrexone 12mg/0.6mL I,$506.70
Methylphenidate 10mg T(Ritalin),$25.00
Methylphenidate 5mg T(Ritalin),$25.00
methylPRED Ace 80mg/mL I(DEPO-Med,$108.65
methylPREDNISolone 16 mg T(Medrol),$25.05
methylPREDNISolone 4mg 21 Dose Pk,$10.00
methylPREDNISolone 4mg T(Medrol),$11.70
methylPREDNISolone Ace 40mg/mL I(DEPO-Medr,$61.60
methylPREDNISolone NaSucc 125mg,$57.35
methylPREDNISolone NaSucc 1g I,"$3,953.55"
methylPREDNISolone NaSucc 500mg I,$225.00
Metoclopramide 10mg T(Reglan),$10.00
Metoclopramide 10mg/10mL L UD,$15.75
Metoclopramide 1mg/1mL L(Reglan),$10.00
Metoclopramide 5mg ODT Tab,$67.20
Metoclopramide 5mg T(Reglan),$10.00
Metoclopramide 5mg/5mL L UD,$10.00
Metoclopramide 5mg/mL 2mL I(Reglan),$25.00
metOLazone 2.5mg T(Zaroxolyn),$16.75
metOLazone 5mg T(Zaroxolyn),$19.05
Metoprolol 100mg T(Lopressor),$10.00
Metoprolol 1mg/mL 5mL IS,$25.00
Metoprolol 25mg T(Lopressor),$10.00
Metoprolol 50mg T(Lopressor),$10.00
Metoprolol XL 100mg T(TopROL-XL),$11.20
Metoprolol XL 50mg T(TopROL- XL),$10.00
Metoprolol XL25 mg T(TopROL- XL),$10.00
metroNIDAZOLE 250mg T(Flagyl),$10.00
metroNIDAZOLE 500mg P,$50.00
metroNIDAZOLE 500mg T(Flagyl),$10.00
Mexiletine 150mg C(Mexitil),$17.95
Mexiletine 200mg C(Mexitil),$21.45
Mexiletine 250mg C(Mexitil),$24.65
Mg Eval By Ria,$252.00
Mg Eval Panel By Immunoassay,$237.00
Miconazole 100mg VS(Monistat),$0.00
Miconazole 2% 30g TC,$0.00
Miconazole 2% 45g VC(Monistat),$0.00
Miconazole 200mg VS(Monistat),$0.00
Microalbumin Creatinine Ratio,$116.00
Microcatheter Sn,"$9,450.00"
Microfibrillar 1g TP(Avitene),"$1,443.25"
Microsatellite Instability Mawd,$390.00
Microsheath Angled,"$1,640.00"
Microsheath Vert,"$1,640.00"
Microvascular Coupler,"$1,570.00"
Midazolam 1mg/mL 2mL I(Versed),$35.00
Midazolam 1mg/mL 5mL I PF,$35.00
Midazolam 2mg/mL L(Versed),$25.00
Midazolam 5 mg/mL I PF (Versed),$35.00
Midazolam 50mg/10mL I,$66.25
Midazolam 5mg/2.5mL L UD,$25.00
Midodrine 5 mg T(Proamatine),$29.40
Millex SV Filter 5 Micron,$0.00
Milnacipran 12.5mg T(Savella),$45.10
Milnacipran 25mg T(Savella),$45.10
Milnacipran 50mg T(Savella),$41.00
Milrinone 10mg/10mL Inj,$245.35
Milrinone 20mg/20mL I - for IV Set,$132.75
Mineral Oil 100% Enema,$14.75
Mineral Oil 30mL L,$0.00
Mineral Oil Light 10mL(Muri-Lube),$118.25
Minerva Client Mawd,$2.00
Minimum Inhibitory Concentration,$147.00
Minocycline 100mg C(Minocin),$24.05
Minocycline 50 mg C,$12.05
Minoxidil 10mg T(Loniten),$10.00
Minoxidil 2.5mg T(Loniten),$10.00
Mirabegron 25mg ER T(Myrbetriq ER),$89.15
Mirtazapine 15mg T(Remeron),$19.20
Mirtazapine 30mg T(Remeron),$19.80
Mirtazapine 7.5mg T(Remeron),$18.65
Miscellaneous Noninvasive Proced,$425.00
miSOPROStol  200mcg T(Cytotec),$10.10
miSOPROStol 25mcg/0.25 Tab,$10.00
Mitochondrial Antibodies,$121.00
mitoMYcin 20mg I,"$1,066.00"
mitoMYcin 5mg I,$425.75
MitoXANtrone HCl 20mg/10mL Inj,"$3,122.15"
Mlc Device Design And Construct,"$1,683.00"
Mnt Group Each 30 Min,$32.00
Mnt Initial Indiv Each 15Min,$48.00
Mnt Reassessment Indiv Each 15Min,$48.00
Modafinil 100mg T(Provigil),$196.20
Modafinil 200 mg T(Provigil),$303.55
Moderate Sedation,$539.00
Modular Head,"$3,020.00"
Modular Head,"$8,100.00"
Modular Head,"$8,231.58"
Modular Head,"$4,953.83"
Modular Head,"$14,130.00"
Modular Head,"$5,344.50"
Mog Ab Serum,$719.00
Molar Preganancy Dna Markers,$488.00
Mold Identification Charge,$115.00
Molecular Cyto 10 To 30 Cells,$350.00
Molecular Cytogenetics,$156.00
Mometasone 220 mcg/inh (Asmanex),$579.60
Mononuclear Cell Ag Quant,$40.00
Mononucleosis Screen,$85.00
Montelukast 10mg T(Singulair),$40.05
Montelukast 5 mg Chew T,$35.60
Mopath Lvi I Lacotype,$324.00
Mopath Lvi Ii Crohns Prog,$315.00
Mopath Lvi Ii Nod2 Card15,$356.00
Mopath Lvi Ii Tpmt Genetics,$433.00
Morcellator,"$3,237.50"
Morcellator,"$5,085.50"
Morcellator,"$4,060.00"
Morcellator,"$2,332.00"
Morph Analysis Csi,$216.00
Morph Analysis Manual Csi,$216.00
Morphine 0.4mg/mLOral Liq-NICU,$43.60
Morphine 100mg/8 to 12hr SR T(Oramorph SR),$33.65
Morphine 10mg/10mL PF,$64.10
Morphine 10mg/2.5mL Oral Liq,$25.00
Morphine 10mg/mL 1mL PF IS,$35.00
Morphine 15 mg T(Short Acting),$25.00
Morphine 15mg/8 to 12hr SR T(Oramorph SR),$25.00
Morphine 1mg/mL / NS PCA,$183.60
Morphine 1mg/mL CI/HD PCA,$183.60
Morphine 2.5g/50mL I,$35.00
Morphine 200mg/8 to 12hr ER T(MS Contin),$31.05
Morphine 2mg/mL 1mL PF IS,$35.00
Morphine 30 mg/24 hr ER C(AVINza),$45.85
Morphine 30mg/8 to 12hr SR T(Oramorph SR),$27.05
Morphine 4mg/mL 1mL PF IS,$35.00
Morphine 500mg/20mL PF I,"$2,181.25"
Morphine 5mg/10mL PF,$58.00
Morphine 60 mg/24 hr ER C(AVINza),$89.00
Morphine 60mg/8 to 12hr SR T(Oramorph SR),$42.60
Morphine 8mg/mL 1mL PF IS,$35.00
Morphine PCA/CI*DC*,$194.00
Morphometric Ihc Manual,$262.00
Motor F Wave Study,$324.00
Moxifloxacin 400mg P (Avelox),$497.50
Moxifloxacin 400mg T(Avelox),$194.15
MR Guided Breast Localization,"$4,134.00"
MR Guided Mammotome Biopsy,"$4,692.00"
MRA Abdomen W Contrast,"$1,853.00"
MRA Abdomen W Wo Contrast,"$1,853.00"
MRA Abdomen Wo Contrast,"$1,853.00"
MRA Chest W Contrast,"$1,853.00"
MRA Chest W Wo Contrast,"$1,853.00"
MRA Chest Wo Contrast,"$1,853.00"
MRA Head Wo Contrast,"$1,853.00"
MRA Lower Ext Lt W Contrast,"$1,853.00"
MRA Lower Ext Lt Wo Contrast,"$1,853.00"
MRA Lower Ext Lt Wwo Contrast,"$1,853.00"
MRA Lower Ext Rt W Contrast,"$1,853.00"
MRA Lower Ext Rt Wo Contrast,"$1,853.00"
MRA Lower Ext Rt Wwo Contrast,"$1,853.00"
MRA Neck W Contrast,"$1,853.00"
MRA Neck W Wo,"$1,853.00"
MRA Neck Wo Contrast,"$1,853.00"
MRA Spinal Canal,"$1,853.00"
MRA Upper Ext Lt W Contrast,"$1,853.00"
MRA Upper Ext Lt Wo Contrast,"$1,853.00"
MRA Upper Ext Lt Wwo Contrast,"$1,853.00"
MRA Upper Ext Rt W Contrast,"$1,853.00"
MRA Upper Ext Rt Wo Contrast,"$1,853.00"
MRA Upper Ext Rt Wwo Contrast,"$1,853.00"
MRCP Done With MRI Abdomen,"$1,941.00"
MRI Abdomen W Contrast,"$1,832.00"
MRI Abdomen W Wo Contrast,"$1,853.00"
MRI Abdomen Wo Contrast,"$1,811.00"
MRI Brain W Contrast,"$1,832.00"
MRI Brain W Wo Contrast,"$1,853.00"
MRI Brain Wo Contrast,"$1,811.00"
MRI Breast Bilat W Contrast,"$1,832.00"
MRI Breast Bilat W Wo Contrast,"$1,853.00"
MRI Breast Bilat Wo Contrast,"$1,811.00"
MRI Breast Cad,$216.00
MRI Breast Lt W Contrast,"$1,832.00"
MRI Breast Lt W Wo Contrast,"$1,853.00"
MRI Breast Lt Wo Contrast,"$1,811.00"
MRI Breast Rt W Contrast,"$1,832.00"
MRI Breast Rt W Wo Contrast,"$1,853.00"
MRI Breast Rt Wo Contrast,"$1,811.00"
MRI Cardiac W Wo Contrast,"$1,853.00"
MRI Cardiac Wo Contrast,"$1,811.00"
MRI Cervical Spine W Contrast,"$1,832.00"
MRI Cervical Spine W Wo Contrast,"$1,853.00"
MRI Cervical Spine Wo Contrast,"$1,811.00"
MRI Chest W Contrast,"$1,832.00"
MRI Chest W Wo Contrast,"$1,853.00"
MRI Chest Wo Contrast,"$1,811.00"
MRI Lower Ext Joint Bilat W Con,"$3,664.00"
MRI Lower Ext Joint Bilat Wo Con,"$3,622.00"
MRI Lower Ext Joint Bilat Wwo Con,"$3,706.00"
MRI Lower Ext Joint Lt Partial,"$1,449.00"
MRI Lower Ext Joint Lt W Contrast,"$1,832.00"
MRI Lower Ext Joint Lt W Wo Contr,"$1,853.00"
MRI Lower Ext Joint Lt Wo Contras,"$1,811.00"
MRI Lower Ext Joint Rt Partial,"$1,449.00"
MRI Lower Ext Joint Rt W Contrast,"$1,832.00"
MRI Lower Ext Joint Rt W Wo Contr,"$1,853.00"
MRI Lower Ext Joint Rt Wo Contras,"$1,811.00"
MRI Lower Ext Lt W Contrast,"$1,832.00"
MRI Lower Ext Lt W Wo Contrast,"$1,853.00"
MRI Lower Ext Lt Wo Contrast,"$1,811.00"
MRI Lower Ext Rt W Contrast,"$1,832.00"
MRI Lower Ext Rt W Wo Contrast,"$1,853.00"
MRI Lower Ext Rt Wo Contrast,"$1,811.00"
MRI Lumbar Spine W Contrast,"$1,832.00"
MRI Lumbar Spine W Wo Contrast,"$1,853.00"
MRI Lumbar Spine Wo Contrast,"$1,811.00"
MRI Orbits W Contrast,"$1,811.00"
MRI Orbits W Wo Contrast,"$1,853.00"
MRI Orbits Wo Contrast,"$1,811.00"
MRI Pelvis W Contrast,"$1,832.00"
MRI Pelvis W Wo Contrast,"$1,853.00"
MRI Pelvis Wo Contrast,"$1,811.00"
MRI Thoracic Spine W Contrast,"$1,832.00"
MRI Thoracic Spine W Wo Contrast,"$1,853.00"
MRI Thoracic Spine Wo Contrast,"$1,811.00"
MRI Tmj,"$1,811.00"
MRI Upper Ext Joint Lt W Contrast,"$1,832.00"
MRI Upper Ext Joint Lt W Wo Contr,"$1,853.00"
MRI Upper Ext Joint Lt Wo Contras,"$1,811.00"
MRI Upper Ext Joint Rt W Contrast,"$1,832.00"
MRI Upper Ext Joint Rt W Wo Contr,"$1,853.00"
MRI Upper Ext Joint Rt Wo Contras,"$1,811.00"
MRI Upper Ext Lt W Contrast,"$1,832.00"
MRI Upper Ext Lt W Wo Contrast,"$1,853.00"
MRI Upper Ext Lt Wo Contrast,"$1,811.00"
MRI Upper Ext Rt W Contrast,"$1,832.00"
MRI Upper Ext Rt W Wo Contrast,"$1,853.00"
MRI Upper Ext Rt Wo Contrast,"$1,811.00"
Mrsa Dna Amp Probe,$202.00
Mthfr 2 Mutations,$165.00
Multiple Vitamin I,$103.15
Multiplex Antibody Stain,$225.00
Multivitamin + Iron Ped Drops 1mL,$0.00
Multivitamin C(Nephrocap),$10.00
Multivitamin Ped I 5mL,$129.35
Multivitamin Pediatric L 1mL,$0.00
Multivitamin w/ Minerals T(Theragran-M),$0.00
Multivitamin w/Minerals Oral Liq,$0.00
Multivitamin-Min-Fe T(OB),$0.00
Mumps Antibody,$120.00
Mumps Virus Antibody Igg,$127.00
Mupirocin 2% TO 22g (Bactroban),$79.65
Mupirocin 2% Top Oint 1g UD,$36.30
Mupirocin/Nystatin/Betameth/Miconazole Oint.,$603.90
Musk Quant Antibody,$754.00
Mycophenolate 250 mg C(Cellcept),$27.80
Mycophenolate 500 mg T(Cellcept),$55.55
Mycophenolate Mofetil 500mg I,$859.65
Mycophenolate Mofetil 500mg/2.5mL Susp,$151.25
Mycophenolic Acid 180 mg EC T (Myfortic),$32.35
Mycoplasma Ab Igg,$118.00
Mycoplasma Ab Igm,$118.00
Myelin Assoc Glyco Ab,$128.00
Myelin Basic Protein Csf,$115.00
Myeloperoxidase Ab,$62.00
Myocardial Antibody,$126.00
Myocardial Antibody Titer,$129.00
Myocardial Strain Imaging,$524.00
Myoglobin,$120.00
Myoglobin Blood,$143.00
Myriad Brac Analysis,$0.00
N Gonor Dna Amp Probe,$59.00
N Gonorrhoeae Dna Probe,$121.00
Na & K Phos Pkt(Phos-NAK),$0.00
Na Citrate 4% 500mL I,$100.00
Na Ferric Gluc Comp Inj,$299.20
Nabumetone 500mg T(Relafen),$10.00
Nabumetone 750mg T(Relafen),$11.50
Nadolol 40mg T(Corgard),$28.40
Nafcillin 1g I,$69.10
Nafcillin 2g I,$225.05
Nail,"$8,771.79"
Nail,"$8,163.60"
Nail,"$5,446.00"
Nail,"$8,214.00"
Nail,"$7,962.15"
Nail,"$4,987.50"
Nail,"$8,302.20"
Nail,"$6,673.66"
Nail,"$5,862.50"
Nail,"$9,540.51"
Nail,"$6,276.06"
Nail,"$2,061.64"
Nail,"$2,161.88"
Nail,"$6,600.30"
Nail,"$2,045.12"
Nail,"$14,526.00"
Nail,"$4,656.54"
Nail,"$4,589.34"
Nail,"$5,016.06"
Nail,"$8,516.70"
Nail,"$5,232.78"
Nail,"$7,741.50"
Nail,"$19,202.50"
Nail,"$8,621.52"
Nail,"$7,770.00"
Nail,"$3,509.73"
Nail,"$3,746.12"
Nail,"$3,442.04"
Nail,"$3,641.30"
Nail,"$3,721.06"
Nail,"$1,480.00"
Nail,"$2,399.60"
Nail,"$8,848.20"
Nail,"$6,013.35"
Nail,"$11,187.00"
Nail,"$8,394.50"
Nail,"$1,450.00"
Nail,"$11,737.98"
Nail,"$4,502.77"
Nail,"$6,055.00"
Nail,"$7,823.70"
Nail Cap,$830.52
Nail Cap,"$1,852.00"
Nail Cap,$951.75
NalBUPHine 20mg/mL I,$37.90
NalOXone 0.4mg/mL 1mL I(Narcan),$59.55
NalOXone 2mg/2 mL IS (Narcan),$204.85
Naltrexone 50mg Tab,$24.30
Naphazoline-Phen Ophth Soln(Naphcon-A),$0.00
Naproxen 250mg T(Naprosyn),$10.00
Naproxen 375mg T(Naprosyn),$10.00
Naproxen 500mg T(Naprosyn),$10.00
Nas Multi Level,"$1,078.00"
Nas Multi Levels,"$1,078.00"
Nasal Eosinophil,$52.00
Nasal Implant,"$4,270.00"
Natalizub Antibodies,$392.00
Natalizumab 300 mg/15 mL I(Tysabri),"$39,967.00"
Nateglinide 60mg T(Starlix),$12.50
Natural Killer Cells Total,$46.00
NB Car Seat Screening Ea Addl 30M,$43.00
NB Car Seat Screening First 60Min,$86.00
NB Circumcision,"$1,078.00"
NB Exchange Transfusion Partial,"$1,294.00"
NB Frenulectomy Or Frenectomy,$539.00
NB Insert Arterial Umbilical Cath,$324.00
NB Insert Picc Line,"$2,060.00"
NB Insert Venous Umbilical Cath,$863.00
NB Intubation,"$1,294.00"
NB Metabolic Lab,$216.00
NB Needle Aspiration,$647.00
NB Skin Tag Removal,$539.00
Nebivolol 10mg T (Bystolic),$37.40
Nebivolol 5mg T (Bystolic),$30.75
Nebulizer Syringe,$0.00
Needle EMG One Extremity,$594.00
Needle EMG Two Extremities,$701.00
Neg Press Wnd Tx Gt 50Cm,$404.00
Neg Press Wnd Tx Lt 50Cm,$378.00
Neg Press Wnd Tx W Pico Gt 50Cm,$658.00
Neg Press Wnd Tx W Pico Lt 50Cm,$515.00
Nelfinavir Mes 625 mg T(Viracept),$73.90
Neo-Colistin-Thonz-HC Otic Susp 10mL,"$1,153.25"
Neomycin 500mg T,$11.55
Neomycin-Polymyxin B GU Irr 1mL,$68.35
NEOnatal Lipid 20% Infusion,$128.50
NEOnatal TPN Infusion,$836.80
Neo-Poly-Bac 3.5g Ophth Oint(Neosporin),$0.00
Neo-Poly-Bac-Hc 3.5g Ophth Oint(Cortispor,$435.50
Neo-Poly-Dex 3.5g Ophth Oint(Maxitrol),$141.45
Neo-Poly-Dex 5mL Ophth Susp(Maxitrol),$140.60
Neo-Poly-Gram 10mL Ophth Soln(Neospor,$385.55
Neo-Poly-HC 10mL Otic Sol(Cortispor,$648.30
Neo-Poly-HC 10mL Otic Sus(Cortispor,$651.80
Neo-Poly-HC 7.5mL Ophth Susp(Cortis,$954.60
Neostigmine 1mg/mL 10mL Inj,$403.90
Nephelometry Nos,$206.00
Nerve Conduction 1 To 2,$539.00
Nerve Conduction 11 To 12,"$2,049.00"
Nerve Conduction 13 Or More,"$2,373.00"
Nerve Conduction 3 To 4,$755.00
Nerve Conduction 5 To 6,"$1,078.00"
Nerve Conduction 7 To 8,"$1,402.00"
Nerve Conduction 9 To 10,"$1,725.00"
Nerve Connect .5Cm For 1.5Cm,"$1,423.33"
Nerve Connect .5Cm For 1.5Cm,"$1,750.00"
Nerve Graft,"$6,387.50"
Nerve Graft,"$8,625.00"
Nerve Graft,"$12,600.00"
Nerve Graft,"$13,575.00"
Nerve Graft,"$16,000.00"
Nerve Graft,"$16,500.00"
Nerve Guide 1Cm For 3Cm,"$3,083.70"
Nerve Protector 1Cm For 20Mm,$33.25
Nerve Protector 1Cm For 40Mm,$20.59
Nerve Stimulator,$444.60
Nerve Stimulator,"$3,422.44"
Nerve Wrap 1Cm For 2Cm,"$3,342.50"
Nerve Wrap 1Cm For 4Cm,"$1,860.60"
Neuro Stimulator Plug,$810.00
Neuron Specific Enolase,$118.00
Neuronal Ab Igg Anti Yo,$189.00
Neuronal K Plus Channel Ab,$242.00
Neuronal Nuclear Ab Igg Anna,$215.00
Neurostimulator,"$1,740.00"
Neurostimulator,"$4,252.50"
Neurostimulator,"$33,142.50"
Neurostimulator,"$42,637.50"
Neurostimulator,"$48,465.00"
Neurostimulator,"$28,372.50"
Neurostimulator,"$63,790.00"
Neurostimulator Test,"$2,040.00"
Nevirapine 200mg T,$76.80
Newborn Metabolic Screen,$0.00
Niacin 500 mg ER T(Vit B3),$36.95
Niacin 500 mg T(Vit B3),$0.00
Niacin 750 mg ER T(Niaspan),$52.65
Niacin Vitamin B3,$169.00
Niacinamide 500mg T,$0.00
niCARdipine 20mg C(CardENE),$15.80
niCARdipine 25mg/10mL I,$205.45
niCARdipine 25mg/NS 100mL,$244.70
niCARdipine 30mg C(CardENE),$22.60
Nicotine 10 mg/mL Inh,$358.80
Nicotine 10mg/mL Nasal Spray,$572.85
Nicotine 14mg TD(Nicoderm CQ),$0.00
Nicotine 21mg TD(Nicoderm CQ),$0.00
Nicotine 2mg Oral Lozenge,$10.00
Nicotine 2mg T(Nicorette Gum),$0.00
Nicotine 4mg Oral Lozenge,$10.00
Nicotine 7mg TD(Nicoderm CQ),$0.00
Nicotine And Metabolites Urine,$121.00
Nicotine Blood,$115.00
NIFEdipine 10mg C(Adalat/Procardia),$10.00
NIFEdipine 30mg XLT(Adalat/Procard,$10.00
NIFEdipine 60mg XL T(Adalat/Procard,$15.75
NIFEdipine 90mg XL T(Adalat/Procard,$18.15
niMODipine 30mg C(Nimotop),$132.45
niMODipine 60 mg/20 mL Soln UD,$532.95
Nisoldipine 20mg ER T,$116.50
Nitinol System,"$5,012.00"
Nitrofurantoin 50mg C(Macrodantin),$16.10
Nitrofurantoin 50mg/10mL Oral Liq,$93.90
Nitrofurantoin 5mg/1mL Oral Liq,$22.50
Nitrofurantoin Monohydrate-Macro 100mg C,$27.00
Nitrogen Washout Or Frc,$431.00
Nitroglycerin 0.1mg/hr TD(Nitro-Dur),$13.15
Nitroglycerin 0.2mg/hr TD(Nitro-Dur),$18.40
Nitroglycerin 0.3mg/hr TD(Nitro-Dur),$44.60
Nitroglycerin 0.4mg SL T,$182.05
Nitroglycerin 0.4mg/hr TD(Nitro-Dur),$15.40
Nitroglycerin 0.4mg/Spr 4.9g Spray,"$1,425.30"
Nitroglycerin 0.6mg/hr TD(Nitro-Dur),$14.60
Nitroglycerin 2% TO 1g,$17.75
Nitroglycerin 2.5mg Cr C(Nitrobid),$10.00
Nitroglycerin 25mg/D5W 250mL,$162.90
Nitroglycerin 50mg/10mL I,$106.25
Nitroglycerin 9mg Cr C(Nitrobid),$10.00
Nitroprusside 50mg/2mL - for IV Set,"$2,703.50"
Nitroprusside 50mg/2mL I,"$3,380.45"
NM 99M Tc Maa Radiopharm,$626.13
NM 99Mtc Ceretec White Blood Cell,"$10,262.16"
NM 99Mtc Mebrofenin,$189.75
NM Adrenal,"$1,720.00"
NM Bone Marrow,"$1,720.00"
NM Bone Scan 3 Phase,"$1,720.00"
NM Bone Scan Wh Body,"$1,720.00"
NM Cerebral Flow Study,"$1,720.00"
NM Cholecystokinen 5Mcg,$345.00
NM Cisternography,"$1,720.00"
NM Csf Leak Evaluation,"$1,720.00"
NM Csf Shunt Evaluation,"$1,720.00"
NM Cystogram,"$1,720.00"
NM Each Addl Gallium Citrate,$294.50
NM Each Addl Iodine,$65.63
NM Esoph Reflux,"$1,720.00"
NM F18 Flucicovine,"$14,147.00"
NM Gallium Citrate To 4Mci,$294.50
NM Gallium Ga68 Dotatate Diagnost,"$11,900.00"
NM Gastric Emptying,"$1,720.00"
NM Gb Biliary Tract W Cck,"$1,720.00"
NM Gb Biliary Tract Wo Cck,"$1,720.00"
NM Gi Bleeding Scan,"$1,720.00"
NM I123 Diag Cap Radiopharm,$318.01
NM Indium 111 Dtpa,"$9,516.30"
NM Indium Iii Pentereotide,"$11,400.00"
NM Indium Labeled Wbc,"$10,509.69"
NM Iodine 131 1Mci For 100Mci,$41.00
NM Iodine 131 1Mci For 10Mci,$81.00
NM Iodine 131 1Mci For 50Mci,$41.80
NM Iodine 131 1Mci For 5Mci,$90.25
NM Iodine 131 Diagnostic Capsule,$185.60
NM Iodine 131 Thyrogen Wb Capsule,$451.25
NM Liver Imaging Spect,"$2,265.00"
NM Liver Spleen,"$1,720.00"
NM Localize In Whole Body 1 Day,"$2,265.00"
NM Localize In Whole Body 2 Day,"$2,831.00"
NM Localize Inflam Whole Body,"$1,720.00"
NM Lymphoma Bexxar Therapy,"$1,720.00"
NM Lymphoscitigraphy,"$2,265.00"
NM Meckel Imaging,"$1,720.00"
NM Metastron,"$19,958.13"
NM Mibg,"$11,411.88"
NM Parathyroid Planar Imaging,"$1,720.00"
NM Pulmonary Perfusion Imaging,"$1,720.00"
NM Pulmonary Ventilation,"$1,720.00"
NM Radiopharm Therapy Iv Admin,"$1,720.00"
NM Radiopharm Therapy Oral Admin,"$1,720.00"
NM Radium 223 1 Uci,$679.41
NM Rbc Blood Volume,"$2,265.00"
NM Renal Mag 3,"$1,720.00"
NM Renal Mag 3 Isotope,"$1,462.76"
NM Renal S Lasix,"$1,720.00"
NM Sentinal Node Non Imaging,"$1,294.00"
NM Shunt Patency,"$1,294.00"
NM Sod Pert 20Mci,$129.50
NM Sod Pert 30Mci,$129.50
NM Spect Bone,"$1,720.00"
NM Spect Tumor,"$2,265.00"
NM Split Function Lung,"$1,720.00"
NM Sulfur Colliod 8Mci,$360.57
NM Sulfur Colliod Ultrafiltered,$631.89
NM Tc 99M Dtpa Gt 25Mci,$244.00
NM Tc99M Dtpa Lt 25Mci,$444.13
NM Tc99M Labeled Rbc,$731.57
NM Tc99M Mdp,$131.60
NM Tc99M Thyroid,"$1,720.00"
NM Testicular Scan W Vasc Flow,"$1,720.00"
NM Tetrofosmin,$235.75
NM Thyrogen Single Dose,"$6,095.88"
NM Thyroid Carcinoma Whole Body,"$1,720.00"
NM Thyroid Uptake,"$1,294.00"
NM Thyroid Uptake And Scan,"$1,294.00"
NM Vq Scan,"$1,720.00"
Nmda Csf Antibody Igg Titer,$193.00
Nmda R Ab Cba,$470.00
Nmo Aqp4 Igg Cba Csf,$504.00
Nocturnal Oximetry,$431.00
